time,event,input,output
0,begin,[],C1
424,div,C1,"['C1.1', 'C1.2', 'C1.3']"
432,end,C1.1,[]
432,end,C1.2,[]
432,end,C1.3,[]
0,begin,[],C2
60,div,C2,"['C2.1', 'C2.2']"
210,div,C2.1,"['C2.1.1', 'C2.1.2']"
295,div,C2.1.1,"['C2.1.1.1', 'C2.1.1.2']"
432,end,C2.1.1.1,[]
432,end,C2.1.1.2,[]
337,div,C2.1.2,"['C2.1.2.1', 'C2.1.2.2']"
432,end,C2.1.2.1,[]
432,end,C2.1.2.2,[]
179,div,C2.2,"['C2.2.1', 'C2.2.2']"
336,div,C2.2.2,"['C2.2.2.1', 'C2.2.2.2']"
330,div,C2.2.1,"['C2.2.1.1', 'C2.2.1.2']"
432,end,C2.2.2.1,[]
432,end,C2.2.2.2,[]
432,end,C2.2.1.1,[]
432,end,C2.2.1.2,[]
0,begin,[],C3
46,div,C3,"['C3.1', 'C3.2']"
178,div,C3.1,"['C3.1.1', 'C3.1.2']"
304,div,C3.1.1,"['C3.1.1.1', 'C3.1.1.2']"
432,end,C3.1.1.1,[]
432,end,C3.1.1.2,[]
294,div,C3.1.2,"['C3.1.2.1', 'C3.1.2.2']"
432,end,C3.1.2.1,[]
432,end,C3.1.2.2,[]
198,div,C3.2,"['C3.2.1', 'C3.2.2']"
321,div,C3.2.1,"['C3.2.1.1', 'C3.2.1.2']"
432,end,C3.2.1.1,[]
431,div,C3.2.1.2,"['C3.2.1.2.1', 'C3.2.1.2.2']"
432,end,C3.2.1.2.1,[]
432,end,C3.2.1.2.2,[]
318,div,C3.2.2,"['C3.2.2.1', 'C3.2.2.2']"
432,end,C3.2.2.1,[]
428,div,C3.2.2.2,"['C3.2.2.2.1', 'C3.2.2.2.2']"
432,end,C3.2.2.2.1,[]
432,end,C3.2.2.2.2,[]
0,begin,[],C4
45,div,C4,"['C4.1', 'C4.2']"
194,div,C4.1,"['C4.1.1', 'C4.1.2']"
302,div,C4.1.1,"['C4.1.1.1', 'C4.1.1.2']"
404,div,C4.1.1.1,"['C4.1.1.1.1', 'C4.1.1.1.2']"
432,end,C4.1.1.1.1,[]
432,end,C4.1.1.1.2,[]
390,div,C4.1.1.2,"['C4.1.1.2.1', 'C4.1.1.2.2']"
432,end,C4.1.1.2.1,[]
432,end,C4.1.1.2.2,[]
305,div,C4.1.2,"['C4.1.2.1', 'C4.1.2.2']"
358,div,C4.1.2.1,"['C4.1.2.1.1', 'C4.1.2.1.2']"
432,end,C4.1.2.1.1,[]
432,end,C4.1.2.1.2,[]
398,div,C4.1.2.2,"['C4.1.2.2.1', 'C4.1.2.2.2']"
432,end,C4.1.2.2.1,[]
432,end,C4.1.2.2.2,[]
186,div,C4.2,"['C4.2.2', 'C4.2.1']"
306,div,C4.2.1,"['C4.2.1.1', 'C4.2.1.2']"
432,end,C4.2.1.1,[]
411,div,C4.2.1.2,"['C4.2.1.2.1', 'C4.2.1.2.2']"
432,end,C4.2.1.2.1,[]
432,end,C4.2.1.2.2,[]
299,div,C4.2.2,"['C4.2.2.1', 'C4.2.2.2']"
432,end,C4.2.2.1,[]
398,div,C4.2.2.2,"['C4.2.2.2.1', 'C4.2.2.2.2']"
432,end,C4.2.2.2.1,[]
432,end,C4.2.2.2.2,[]
0,begin,[],C5
27,div,C5,"['C5.1', 'C5.2']"
161,div,C5.1,"['C5.1.1', 'C5.1.2']"
279,div,C5.1.1,"['C5.1.1.1', 'C5.1.1.2']"
390,div,C5.1.1.1,"['C5.1.1.1.1', 'C5.1.1.1.2']"
432,end,C5.1.1.1.1,[]
432,end,C5.1.1.1.2,[]
388,div,C5.1.1.2,"['C5.1.1.2.1', 'C5.1.1.2.2']"
432,end,C5.1.1.2.1,[]
432,end,C5.1.1.2.2,[]
292,div,C5.1.2,"['C5.1.2.1', 'C5.1.2.2']"
432,end,C5.1.2.1,[]
414,div,C5.1.2.2,"['C5.1.2.2.1', 'C5.1.2.2.2']"
432,end,C5.1.2.2.1,[]
432,end,C5.1.2.2.2,[]
170,div,C5.2,"['C5.2.1', 'C5.2.2']"
291,div,C5.2.1,"['C5.2.1.1', 'C5.2.1.2']"
398,div,C5.2.1.1,"['C5.2.1.1.1', 'C5.2.1.1.2']"
432,end,C5.2.1.1.1,[]
432,end,C5.2.1.1.2,[]
403,div,C5.2.1.2,"['C5.2.1.2.1', 'C5.2.1.2.2']"
432,end,C5.2.1.2.1,[]
432,end,C5.2.1.2.2,[]
297,div,C5.2.2,"['C5.2.2.1', 'C5.2.2.2']"
403,div,C5.2.2.1,"['C5.2.2.1.1', 'C5.2.2.1.2']"
432,end,C5.2.2.1.1,[]
432,end,C5.2.2.1.2,[]
417,div,C5.2.2.2,"['C5.2.2.2.1', 'C5.2.2.2.2']"
432,end,C5.2.2.2.1,[]
432,end,C5.2.2.2.2,[]
0,begin,[],C6
15,div,C6,"['C6.1', 'C6.2']"
22,fusion,"['C6.1', 'C6.2']",C6.3
23,death,C6.3,[]
