time,event,input,output
0,begin,[],C8
221,div,C8,"['C8.1', 'C8.2']"
491,div,C8.1,"['C8.1.1', 'C8.1.2']"
576,end,C8.1.1,[]
576,end,C8.1.2,[]
490,div,C8.2,"['C8.2.1', 'C8.2.2']"
576,end,C8.2.1,[]
576,end,C8.2.2,[]
0,begin,[],C9
576,end,C9,[]
0,begin,[],C10
216,div,C10,"['C10.1', 'C10.2']"
463,death,C10.1,[]
576,end,C10.2,[]
0,begin,[],C11
340,death,C11,[]
0,begin,[],C12
143,div,C12,"['C12.1', 'C12.2']"
267,out,C12.1,[]
343,div,C12.2,"['C12.2.1', 'C12.2.2']"
350,out,C12.2.1,[]
463,div,C12.2.2,"['C12.2.2.1', 'C12.2.2.2']"
500,out,C12.2.2.1,[]
576,end,C12.2.2.2,[]
0,begin,[],C13
77,div,C13,"['C13.1', 'C13.2']"
235,div,C13.1,"['C13.1.1', 'C13.1.2']"
457,div,C13.1.1,"['C13.1.1.1', 'C13.1.1.2']"
576,end,C13.1.1.2,[]
576,end,C13.1.1.1,[]
404,div,C13.1.2,"['C13.1.2.1', 'C13.1.2.2']"
561,div,C13.1.2.1,"['C13.1.2.1.1', 'C13.1.2.1.2']"
576,end,C13.1.2.1.1,[]
576,end,C13.1.2.1.2,[]
525,div,C13.1.2.2,"['C13.1.2.2.1', 'C13.1.2.2.2']"
576,end,C13.1.2.2.1,[]
576,end,C13.1.2.2.2,[]
236,div,C13.2,"['C13.2.1', 'C13.2.2']"
502,death,C13.2.1,[]
392,div,C13.2.2,"['C13.2.2.1', 'C13.2.2.2']"
576,end,C13.2.2.1,[]
576,end,C13.2.2.2,[]
0,begin,[],C14
112,div,C14,"['C14.1', 'C14.2']"
380,out,C14.1,[]
288,div,C14.2,"['C14.2.1', 'C14.2.2']"
343,out,C14.2.2,[]
415,div,C14.2.1,"['C14.2.1.1', 'C14.2.1.2']"
530,div,C14.2.1.1,"['C14.2.1.1.1', 'C14.2.1.1.2']"
576,end,C14.2.1.1.1,[]
576,end,C14.2.1.1.2,[]
576,end,C14.2.1.2,[]
0,begin,[],C15
107,div,C15,"['C15.1', 'C15.2']"
276,div,C15.1,"['C15.1.1', 'C15.1.2']"
307,death,C15.1.1,[]
306,death,C15.1.2,[]
243,div,C15.2,"['C15.2.1', 'C15.2.2']"
257,fusion,"['C15.2.1', 'C15.2.2']",C15.3
303,death,C15.3,[]
