time,event,input,output
0,begin,[],C1
30,div,C1,"['C1.1', 'C1.2']"
211,div,C1.1,"['C1.1.1', 'C1.1.2']"
432,end,C1.1.1,[]
409,div,C1.1.2,"['C1.1.2.1', 'C1.1.2.2']"
432,end,C1.1.2.1,[]
432,end,C1.1.2.2,[]
200,div,C1.2,"['C1.2.1', 'C1.2.2']"
356,death,C1.2.1,[]
351,div,C1.2.2,"['C1.2.2.1', 'C1.2.2.2']"
432,end,C1.2.2.2,[]
432,end,C1.2.2.1,[]
0,begin,[],C2
21,div,C2,"['C2.2', 'C2.1']"
186,div,C2.1,"['C2.1.1', 'C2.1.2']"
339,div,C2.1.1,"['C2.1.1.1', 'C2.1.1.2']"
432,end,C2.1.1.1,[]
432,end,C2.1.1.2,[]
350,div,C2.1.2,"['C2.1.2.1', 'C2.1.2.2']"
432,end,C2.1.2.1,[]
432,end,C2.1.2.2,[]
174,div,C2.2,"['C2.2.1', 'C2.2.2']"
332,div,C2.2.1,"['C2.2.1.1', 'C2.2.1.2']"
432,end,C2.2.1.1,[]
432,end,C2.2.1.2,[]
322,div,C2.2.2,"['C2.2.2.1', 'C2.2.2.2']"
432,end,C2.2.2.1,[]
432,end,C2.2.2.2,[]
0,begin,[],C3
13,div,C3,"['C3.1', 'C3.2']"
191,div,C3.1,"['C3.1.1', 'C3.1.2']"
335,div,C3.1.1,"['C3.1.1.1', 'C3.1.1.2']"
432,end,C3.1.1.1,[]
432,end,C3.1.1.2,[]
351,div,C3.1.2,"['C3.1.2.1', 'C3.1.2.2']"
432,end,C3.1.2.1,[]
432,end,C3.1.2.2,[]
182,div,C3.2,"['C3.2.1', 'C3.2.2']"
361,div,C3.2.1,"['C3.2.1.1', 'C3.2.1.2']"
432,end,C3.2.1.1,[]
432,end,C3.2.1.2,[]
366,div,C3.2.2,"['C3.2.2.1', 'C3.2.2.2']"
432,end,C3.2.2.1,[]
432,end,C3.2.2.2,[]
0,begin,[],C4
75,div,C4,"['C4.1', 'C4.2']"
178,out,C4.2,[]
248,div,C4.1,"['C4.1.1', 'C4.1.2']"
407,div,C4.1.1,"['C4.1.1.1', 'C4.1.1.2']"
432,end,C4.1.1.1,[]
432,end,C4.1.1.2,[]
428,div,C4.1.2,"['C4.1.2.1', 'C4.1.2.2']"
432,end,C4.1.2.1,[]
432,end,C4.1.2.2,[]
0,begin,[],C5
8,div,C5,"['C5.1', 'C5.2']"
165,div,C5.1,"['C5.1.1', 'C5.1.2']"
432,end,C5.1.1,[]
359,div,C5.1.2,"['C5.1.2.1', 'C5.1.2.2']"
432,end,C5.1.2.1,[]
432,end,C5.1.2.2,[]
153,div,C5.2,"['C5.2.1', 'C5.2.2']"
381,div,C5.2.1,"['C5.2.1.1', 'C5.2.1.2']"
432,end,C5.2.1.1,[]
432,end,C5.2.1.2,[]
379,div,C5.2.2,"['C5.2.2.1', 'C5.2.2.2']"
432,end,C5.2.2.1,[]
432,end,C5.2.2.2,[]
0,begin,[],C6
17,div,C6,"['C6.1', 'C6.2']"
209,div,C6.1,"['C6.1.1', 'C6.1.2']"
432,end,C6.1.1,[]
432,end,C6.1.2,[]
192,div,C6.2,"['C6.2.1', 'C6.2.2']"
353,div,C6.2.1,"['C6.2.1.1', 'C6.2.1.2']"
432,end,C6.2.1.1,[]
432,end,C6.2.1.2,[]
334,div,C6.2.2,"['C6.2.2.1', 'C6.2.2.2']"
432,end,C6.2.2.1,[]
432,end,C6.2.2.2,[]
0,begin,[],C7
13,div,C7,"['C7.1', 'C7.2']"
199,div,C7.1,"['C7.1.1', 'C7.1.2']"
337,div,C7.1.1,"['C7.1.1.1', 'C7.1.1.2']"
432,end,C7.1.1.1,[]
432,end,C7.1.1.2,[]
344,div,C7.1.2,"['C7.1.2.1', 'C7.1.2.2']"
432,end,C7.1.2.1,[]
432,end,C7.1.2.2,[]
193,div,C7.2,"['C7.2.1', 'C7.2.2']"
432,end,C7.2.1,[]
352,div,C7.2.2,"['C7.2.2.1', 'C7.2.2.2']"
432,end,C7.2.2.1,[]
432,end,C7.2.2.2,[]
0,begin,[],C8
55,div,C8,"['C8.1', 'C8.2']"
251,div,C8.1,"['C8.1.1', 'C8.1.2', 'C8.1.3']"
432,end,C8.1.2,[]
432,end,C8.1.1,[]
405,div,C8.1.3,"['C8.1.3.1', 'C8.1.3.2']"
432,end,C8.1.3.1,[]
432,end,C8.1.3.2,[]
281,div,C8.2,"['C8.2.1', 'C8.2.2']"
432,end,C8.2.1,[]
423,div,C8.2.2,"['C8.2.2.1', 'C8.2.2.2']"
432,end,C8.2.2.1,[]
432,end,C8.2.2.2,[]
0,begin,[],C9
86,div,C9,"['C9.1', 'C9.2']"
267,div,C9.1,"['C9.1.1', 'C9.1.2']"
432,end,C9.1.1,[]
413,div,C9.1.2,"['C9.1.2.1', 'C9.1.2.2']"
432,end,C9.1.2.1,[]
432,end,C9.1.2.2,[]
263,div,C9.2,"['C9.2.1', 'C9.2.2']"
409,div,C9.2.1,"['C9.2.1.1', 'C9.2.1.2']"
432,end,C9.2.1.1,[]
432,end,C9.2.1.2,[]
397,div,C9.2.2,"['C9.2.2.1', 'C9.2.2.2']"
432,end,C9.2.2.1,[]
432,end,C9.2.2.2,[]
0,begin,[],C10
159,div,C10,"['C10.1', 'C10.2']"
340,div,C10.1,"['C10.1.1', 'C10.1.2']"
432,end,C10.1.1,[]
432,end,C10.1.2,[]
