time,event,input,output
0,begin,[],C1
320,div,C1,"['C1.1', 'C1.2', 'C1.3']"
341,fusion,"['C1.1', 'C1.2']",C1.4
348,fusion,"['C1.4', 'C1.3']",C1.5
377,death,C1.5,[]
0,begin,[],C2
335,div,C2,"['C2.1', 'C2.2', 'C2.3']"
354,fusion,"['C2.1', 'C2.2']",C2.4
365,fusion,"['C2.4', 'C2.3']",C2.5
434,death,C2.5,[]
0,begin,[],C3
721,end,C3,[]
0,begin,[],C4
209,div,C4,"['C4.1', 'C4.2']"
510,fusion,"['C4.1', 'C4.2']",C4.3
721,end,C4.3,[]
0,begin,[],C5
703,out,C5,[]
0,begin,[],C6
167,div,C6,"['C6.1', 'C6.2']"
333,fusion,"['C6.1', 'C6.2']",C6.3
457,div,C6.3,"['C6.3.1', 'C6.3.2', 'C6.3.3', 'C6.3.4', 'C6.3.5', 'C6.3.6']"
506,fusion,"['C6.3.1', 'C6.3.2', 'C6.3.3', 'C6.3.4']",C6.4
721,death,C6.4,[]
657,death,C6.3.5,[]
645,death,C6.3.6,[]
0,begin,[],C7
202,div,C7,"['C7.1', 'C7.2']"
610,death,C7.1,[]
671,death,C7.2,[]
0,begin,[],C8
317,div,C8,"['C8.1', 'C8.2', 'C8.3']"
421,fusion,"['C8.1', 'C8.2']",C8.4
427,fusion,"['C8.4', 'C8.3']",C8.5
629,death,C8.5,[]
0,begin,[],C9
315,div,C9,"['C9.1', 'C9.2', 'C9.3', 'C9.4']"
407,death,C9.1,[]
326,fusion,"['C9.2', 'C9.3']",C9.5
328,fusion,"['C9.5', 'C9.4']",C9.6
468,death,C9.6,[]
0,begin,[],C10
3,div,C10,"['C10.1', 'C10.2']"
285,out,C10.1,[]
211,out,C10.2,[]
