time,event,input,output
0,begin,[],C1
2,div,C1,"['C1.1', 'C1.2', 'C1.3']"
3,out,C1.1,[]
3,out,C1.2,[]
3,out,C1.3,[]
0,begin,[],C2
700,death,C2,[]
0,begin,[],C3
501,death,C3,[]
0,begin,[],C4
62,out,C4,[]
0,begin,[],C5
377,div,C5,"['C5.1', 'C5.2', 'C5.3']"
392,fusion,"['C5.1', 'C5.2', 'C5.3']",C5.4
450,death,C5.4,[]
0,begin,[],C6
290,out,C6,[]
0,begin,[],C7
521,out,C7,[]
0,begin,[],C8
295,div,C8,"['C8.1', 'C8.2', 'C8.3']"
430,death,C8.1,[]
529,fusion,"['C8.2', 'C8.3']",C8.4
678,death,C8.4,[]
0,begin,[],C9
298,div,C9,"['C9.1', 'C9.2', 'C9.3']"
320,fusion,"['C9.1', 'C9.2']",C9.4
345,fusion,"['C9.4', 'C9.3']",C9.5
484,death,C9.5,[]
0,begin,[],C10
139,div,C10,"['C10.1', 'C10.2', 'C10.3']"
164,fusion,"['C10.1', 'C10.2', 'C10.3']",C10.4
721,end,C10.4,[]
