time,event,input,output
0,begin,[],C1
75,div,C1,"['C1.1', 'C1.2']"
250,div,C1.1,"['C1.1.1', 'C1.1.2']"
404,div,C1.1.1,"['C1.1.1.1', 'C1.1.1.2']"
576,end,C1.1.1.1,[]
576,end,C1.1.1.2,[]
365,div,C1.1.2,"['C1.1.2.1', 'C1.1.2.2']"
576,end,C1.1.2.1,[]
576,end,C1.1.2.2,[]
235,div,C1.2,"['C1.2.1', 'C1.2.2']"
576,end,C1.2.1,[]
366,div,C1.2.2,"['C1.2.2.1', 'C1.2.2.2']"
576,end,C1.2.2.1,[]
576,end,C1.2.2.2,[]
0,begin,[],C2
100,div,C2,"['C2.1', 'C2.2']"
284,div,C2.1,"['C2.1.1', 'C2.1.2']"
406,div,C2.1.2,"['C2.1.2.1', 'C2.1.2.2']"
513,death,C2.1.2.1,[]
515,death,C2.1.2.2,[]
418,div,C2.1.1,"['C2.1.1.1', 'C2.1.1.2']"
576,end,C2.1.1.1,[]
527,div,C2.1.1.2,"['C2.1.1.2.1', 'C2.1.1.2.2', 'C2.1.1.2.3']"
576,end,C2.1.1.2.1,[]
576,end,C2.1.1.2.2,[]
576,end,C2.1.1.2.3,[]
222,div,C2.2,"['C2.2.1', 'C2.2.2']"
321,div,C2.2.1,"['C2.2.1.1', 'C2.2.1.2']"
458,div,C2.2.1.1,"['C2.2.1.1.1', 'C2.2.1.1.2']"
521,div,C2.2.1.2,"['C2.2.1.2.1', 'C2.2.1.2.2']"
576,end,C2.2.1.2.1,[]
576,end,C2.2.1.2.2,[]
576,end,C2.2.1.1.1,[]
576,end,C2.2.1.1.2,[]
317,div,C2.2.2,"['C2.2.2.1', 'C2.2.2.2']"
522,div,C2.2.2.1,"['C2.2.2.1.1', 'C2.2.2.1.2']"
462,div,C2.2.2.2,"['C2.2.2.2.1', 'C2.2.2.2.2']"
576,end,C2.2.2.1.1,[]
576,end,C2.2.2.1.2,[]
576,end,C2.2.2.2.1,[]
576,end,C2.2.2.2.2,[]
0,begin,[],C3
93,div,C3,"['C3.1', 'C3.2']"
305,div,C3.1,"['C3.1.1', 'C3.1.2']"
576,end,C3.1.2,[]
465,div,C3.1.1,"['C3.1.1.1', 'C3.1.1.2', 'C3.1.1.3']"
492,fusion,"['C3.1.1.2', 'C3.1.1.3']",C3.4
505,fusion,"['C3.4', 'C3.1.1.1']",C3.5
576,end,C3.5,[]
297,div,C3.2,"['C3.2.1', 'C3.2.2']"
450,div,C3.2.1,"['C3.2.1.1', 'C3.2.1.2']"
576,end,C3.2.1.1,[]
576,end,C3.2.1.2,[]
452,div,C3.2.2,"['C3.2.2.1', 'C3.2.2.2']"
575,div,C3.2.2.1,"['C3.2.2.1.1', 'C3.2.2.1.2']"
576,end,C3.2.2.1.1,[]
576,end,C3.2.2.1.2,[]
576,end,C3.2.2.2,[]
0,begin,[],C4
105,div,C4,"['C4.1', 'C4.2']"
319,div,C4.1,"['C4.1.1', 'C4.1.2']"
340,out,C4.1.2,[]
435,div,C4.1.1,"['C4.1.1.1', 'C4.1.1.2']"
539,div,C4.1.1.1,"['C4.1.1.1.1', 'C4.1.1.1.2']"
576,end,C4.1.1.1.1,[]
576,end,C4.1.1.1.2,[]
557,div,C4.1.1.2,"['C4.1.1.2.1', 'C4.1.1.2.2']"
576,end,C4.1.1.2.1,[]
576,end,C4.1.1.2.2,[]
308,div,C4.2,"['C4.2.1', 'C4.2.2']"
452,div,C4.2.1,"['C4.2.1.1', 'C4.2.1.2']"
437,div,C4.2.2,"['C4.2.2.1', 'C4.2.2.2']"
576,end,C4.2.1.1,[]
576,end,C4.2.1.2,[]
576,end,C4.2.2.1,[]
576,end,C4.2.2.2,[]
0,begin,[],C5
126,div,C5,"['C5.1', 'C5.2']"
363,div,C5.2,"['C5.2.1', 'C5.2.2']"
576,end,C5.2.2,[]
520,div,C5.2.1,"['C5.2.1.1', 'C5.2.1.2']"
576,end,C5.2.1.1,[]
576,end,C5.2.1.2,[]
382,div,C5.1,"['C5.1.1', 'C5.1.2']"
502,div,C5.1.1,"['C5.1.1.1', 'C5.1.1.2']"
576,end,C5.1.1.1,[]
576,end,C5.1.1.2,[]
510,div,C5.1.2,"['C5.1.2.1', 'C5.1.2.2', 'C5.1.2.3', 'C5.1.2.4']"
576,end,C5.1.2.1,[]
576,end,C5.1.2.2,[]
576,end,C5.1.2.3,[]
576,end,C5.1.2.4,[]
0,begin,[],C6
85,div,C6,"['C6.1', 'C6.2']"
242,div,C6.1,"['C6.1.1', 'C6.1.2']"
427,div,C6.1.1,"['C6.1.1.1', 'C6.1.1.2']"
576,end,C6.1.1.1,[]
529,div,C6.1.1.2,"['C6.1.1.2.1', 'C6.1.1.2.2', 'C6.1.1.2.3']"
390,div,C6.1.2,"['C6.1.2.1', 'C6.1.2.2']"
531,div,C6.1.2.1,"['C6.1.2.1.1', 'C6.1.2.1.2']"
544,div,C6.1.2.2,"['C6.1.2.2.1', 'C6.1.2.2.2']"
576,end,C6.1.2.2.1,[]
