time,event,input,output
0,begin,[],C1
226,death,C1,[]
0,begin,[],C2
160,div,C2,"['C2.1', 'C2.2']"
281,div,C2.1,"['C2.1.1', 'C2.1.2']"
386,div,C2.1.1,"['C2.1.1.1', 'C2.1.1.2']"
510,div,C2.1.1.1,"['C2.1.1.1.1', 'C2.1.1.1.2']"
576,end,C2.1.1.1.1,[]
576,end,C2.1.1.1.2,[]
542,div,C2.1.1.2,"['C2.1.1.2.1', 'C2.1.1.2.2']"
576,end,C2.1.1.2.1,[]
576,end,C2.1.1.2.2,[]
387,div,C2.1.2,"['C2.1.2.1', 'C2.1.2.2']"
496,div,C2.1.2.1,"['C2.1.2.1.1', 'C2.1.2.1.2']"
501,div,C2.1.2.2,"['C2.1.2.2.1', 'C2.1.2.2.2']"
576,end,C2.1.2.1.1,[]
576,end,C2.1.2.1.2,[]
576,end,C2.1.2.2.1,[]
576,end,C2.1.2.2.2,[]
309,div,C2.2,"['C2.2.1', 'C2.2.2']"
444,div,C2.2.1,"['C2.2.1.1', 'C2.2.1.2']"
575,div,C2.2.1.2,"['C2.2.1.2.1', 'C2.2.1.2.2']"
439,div,C2.2.2,"['C2.2.2.1', 'C2.2.2.2']"
551,div,C2.2.2.1,"['C2.2.2.1.1', 'C2.2.2.1.2']"
576,end,C2.2.2.1.1,[]
576,end,C2.2.2.1.2,[]
553,div,C2.2.2.2,"['C2.2.2.2.1', 'C2.2.2.2.2']"
576,end,C2.2.2.2.1,[]
576,end,C2.2.2.2.2,[]
576,end,C2.2.1.1,[]
576,end,C2.2.1.2.1,[]
576,end,C2.2.1.2.2,[]
0,begin,[],C3
195,div,C3,"['C3.1', 'C3.2']"
375,div,C3.1,"['C3.1.1', 'C3.1.2']"
509,div,C3.1.1,"['C3.1.1.1', 'C3.1.1.2']"
576,end,C3.1.1.1,[]
576,end,C3.1.1.2,[]
510,div,C3.1.2,"['C3.1.2.1', 'C3.1.2.2']"
576,end,C3.1.2.1,[]
576,end,C3.1.2.2,[]
373,div,C3.2,"['C3.2.1', 'C3.2.2']"
487,div,C3.2.1,"['C3.2.1.1', 'C3.2.1.2']"
576,end,C3.2.1.1,[]
576,end,C3.2.1.2,[]
483,div,C3.2.2,"['C3.2.2.1', 'C3.2.2.2']"
551,death,C3.2.2.1,[]
576,end,C3.2.2.2,[]
0,begin,[],C4
120,div,C4,"['C4.1', 'C4.2']"
304,div,C4.1,"['C4.1.1', 'C4.1.2']"
431,div,C4.1.1,"['C4.1.1.1', 'C4.1.1.2']"
544,div,C4.1.1.1,"['C4.1.1.1.1', 'C4.1.1.1.2']"
576,end,C4.1.1.1.1,[]
576,end,C4.1.1.1.2,[]
575,div,C4.1.1.2,"['C4.1.1.2.1', 'C4.1.1.2.2']"
431,div,C4.1.2,"['C4.1.2.1', 'C4.1.2.2']"
576,end,C4.1.1.2.1,[]
576,end,C4.1.1.2.2,[]
576,end,C4.1.2.1,[]
576,end,C4.1.2.2,[]
312,div,C4.2,"['C4.2.1', 'C4.2.2']"
431,div,C4.2.1,"['C4.2.1.1', 'C4.2.1.2']"
557,div,C4.2.1.1,"['C4.2.1.1.1', 'C4.2.1.1.2']"
576,end,C4.2.1.1.1,[]
576,end,C4.2.1.1.2,[]
555,div,C4.2.1.2,"['C4.2.1.2.1', 'C4.2.1.2.2']"
576,end,C4.2.1.2.1,[]
576,end,C4.2.1.2.2,[]
430,div,C4.2.2,"['C4.2.2.1', 'C4.2.2.2']"
548,div,C4.2.2.1,"['C4.2.2.1.1', 'C4.2.2.1.2']"
576,end,C4.2.2.1.1,[]
576,end,C4.2.2.1.2,[]
554,div,C4.2.2.2,"['C4.2.2.2.1', 'C4.2.2.2.2']"
576,end,C4.2.2.2.1,[]
576,end,C4.2.2.2.2,[]
0,begin,[],C5
110,div,C5,"['C5.1', 'C5.2']"
258,div,C5.1,"['C5.1.1', 'C5.1.2']"
378,div,C5.1.1,"['C5.1.1.1', 'C5.1.1.2']"
552,div,C5.1.1.1,"['C5.1.1.1.1', 'C5.1.1.1.2']"
576,end,C5.1.1.1.1,[]
576,end,C5.1.1.1.2,[]
554,div,C5.1.1.2,"['C5.1.1.2.1', 'C5.1.1.2.2']"
576,end,C5.1.1.2.1,[]
576,end,C5.1.1.2.2,[]
383,div,C5.1.2,"['C5.1.2.1', 'C5.1.2.2']"
513,div,C5.1.2.1,"['C5.1.2.1.1', 'C5.1.2.1.2']"
524,div,C5.1.2.2,"['C5.1.2.2.1', 'C5.1.2.2.2']"
576,end,C5.1.2.1.1,[]
576,end,C5.1.2.2.1,[]
576,end,C5.1.2.2.2,[]
576,end,C5.1.2.1.2,[]
258,div,C5.2,"['C5.2.1', 'C5.2.2']"
484,death,C5.2.1,[]
496,div,C5.2.2,"['C5.2.2.1', 'C5.2.2.2']"
576,end,C5.2.2.1,[]
557,div,C5.2.2.2,"['C5.2.2.2.1', 'C5.2.2.2.2']"
576,end,C5.2.2.2.1,[]
576,end,C5.2.2.2.2,[]
