time,event,input,output
0,begin,[],C1
172,death,C1,[]
0,begin,[],C2
144,div,C2,"['C2.1', 'C2.2', 'C2.3']"
425,death,C2.1,[]
576,end,C2.2,[]
309,div,C2.3,"['C2.3.1', 'C2.3.2']"
439,death,C2.3.1,[]
531,div,C2.3.2,"['C2.3.2.1', 'C2.3.2.2']"
576,end,C2.3.2.1,[]
576,end,C2.3.2.2,[]
0,begin,[],C3
96,out,C3,[]
0,begin,[],C4
90,div,C4,"['C4.1', 'C4.2']"
417,div,C4.1,"['C4.1.1', 'C4.1.2']"
576,end,C4.1.1,[]
576,end,C4.1.2,[]
203,div,C4.2,"['C4.2.1', 'C4.2.2']"
317,div,C4.2.1,"['C4.2.1.1', 'C4.2.1.2']"
457,div,C4.2.1.1,"['C4.2.1.1.1', 'C4.2.1.1.2']"
576,end,C4.2.1.1.1,[]
576,end,C4.2.1.1.2,[]
462,div,C4.2.1.2,"['C4.2.1.2.1', 'C4.2.1.2.2']"
576,end,C4.2.1.2.1,[]
576,end,C4.2.1.2.2,[]
313,div,C4.2.2,"['C4.2.2.1', 'C4.2.2.2']"
422,div,C4.2.2.1,"['C4.2.2.1.1', 'C4.2.2.1.2']"
576,end,C4.2.2.1.1,[]
552,div,C4.2.2.1.2,"['C4.2.2.1.2.1', 'C4.2.2.1.2.2']"
576,end,C4.2.2.1.2.1,[]
576,end,C4.2.2.1.2.2,[]
412,div,C4.2.2.2,"['C4.2.2.2.1', 'C4.2.2.2.2']"
543,div,C4.2.2.2.1,"['C4.2.2.2.1.1', 'C4.2.2.2.1.2']"
576,end,C4.2.2.2.1.1,[]
576,end,C4.2.2.2.1.2,[]
561,div,C4.2.2.2.2,"['C4.2.2.2.2.1', 'C4.2.2.2.2.2']"
576,end,C4.2.2.2.2.1,[]
576,end,C4.2.2.2.2.2,[]
0,begin,[],C5
58,div,C5,"['C5.1', 'C5.2']"
197,div,C5.1,"['C5.1.1', 'C5.1.2']"
308,div,C5.1.1,"['C5.1.1.1', 'C5.1.1.2']"
399,div,C5.1.1.1,"['C5.1.1.1.1', 'C5.1.1.1.2']"
508,div,C5.1.1.1.1,"['C5.1.1.1.1.1', 'C5.1.1.1.1.2']"
526,end,C5.1.1.1.1.1,[]
526,end,C5.1.1.1.1.2,[]
576,end,C5.1.1.1.2,[]
404,div,C5.1.1.2,"['C5.1.1.2.1', 'C5.1.1.2.2']"
527,div,C5.1.1.2.1,"['C5.1.1.2.1.1', 'C5.1.1.2.1.2']"
576,end,C5.1.1.2.1.1,[]
576,end,C5.1.1.2.1.2,[]
576,end,C5.1.1.2.2,[]
312,div,C5.1.2,"['C5.1.2.1', 'C5.1.2.2']"
416,div,C5.1.2.1,"['C5.1.2.1.1', 'C5.1.2.1.2']"
413,div,C5.1.2.2,"['C5.1.2.2.1', 'C5.1.2.2.2']"
528,div,C5.1.2.2.2,"['C5.1.2.2.2.1', 'C5.1.2.2.2.2']"
576,end,C5.1.2.2.2.1,[]
576,end,C5.1.2.2.2.2,[]
576,end,C5.1.2.1.1,[]
576,end,C5.1.2.2.1,[]
576,end,C5.1.2.1.2,[]
192,div,C5.2,"['C5.2.1', 'C5.2.2']"
307,div,C5.2.1,"['C5.2.1.1', 'C5.2.1.2']"
410,div,C5.2.1.1,"['C5.2.1.1.1', 'C5.2.1.1.2']"
497,div,C5.2.1.1.1,"['C5.2.1.1.1.1', 'C5.2.1.1.1.2']"
576,end,C5.2.1.1.1.1,[]
576,end,C5.2.1.1.1.2,[]
576,end,C5.2.1.1.2,[]
425,div,C5.2.1.2,"['C5.2.1.2.1', 'C5.2.1.2.2']"
510,div,C5.2.1.2.1,"['C5.2.1.2.1.1', 'C5.2.1.2.1.2']"
515,div,C5.2.1.2.2,"['C5.2.1.2.2.1', 'C5.2.1.2.2.2']"
576,end,C5.2.1.2.2.1,[]
576,end,C5.2.1.2.2.2,[]
576,end,C5.2.1.2.1.1,[]
576,end,C5.2.1.2.1.2,[]
304,div,C5.2.2,"['C5.2.2.1', 'C5.2.2.2']"
576,end,C5.2.2.1,[]
576,end,C5.2.2.2,[]
0,begin,[],C6
109,div,C6,"['C6.1', 'C6.2']"
300,div,C6.1,"['C6.1.1', 'C6.1.2']"
404,div,C6.1.1,"['C6.1.1.1', 'C6.1.1.2']"
511,div,C6.1.1.1,"['C6.1.1.1.1', 'C6.1.1.1.2']"
576,end,C6.1.1.1.1,[]
576,end,C6.1.1.1.2,[]
512,div,C6.1.1.2,"['C6.1.1.2.1', 'C6.1.1.2.2']"
576,end,C6.1.1.2.1,[]
576,end,C6.1.1.2.2,[]
405,div,C6.1.2,"['C6.1.2.1', 'C6.1.2.2']"
576,end,C6.1.2.1,[]
576,end,C6.1.2.2,[]
251,div,C6.2,"['C6.2.1', 'C6.2.2']"
442,div,C6.2.1,"['C6.2.1.1', 'C6.2.1.2']"
576,end,C6.2.1.1,[]
576,end,C6.2.1.2,[]
418,div,C6.2.2,"['C6.2.2.1', 'C6.2.2.2']"
572,div,C6.2.2.1,"['C6.2.2.1.1', 'C6.2.2.1.2']"
576,end,C6.2.2.1.1,[]
576,end,C6.2.2.1.2,[]
544,div,C6.2.2.2,"['C6.2.2.2.1', 'C6.2.2.2.2']"
576,end,C6.2.2.2.1,[]
576,end,C6.2.2.2.2,[]
0,begin,[],C7
117,div,C7,"['C7.1', 'C7.2']"
261,div,C7.1,"['C7.1.1', 'C7.1.2']"
382,div,C7.1.1,"['C7.1.1.1', 'C7.1.1.2']"
521,div,C7.1.1.1,"['C7.1.1.1.1', 'C7.1.1.1.2']"
576,end,C7.1.1.1.1,[]
576,end,C7.1.1.1.2,[]
524,div,C7.1.1.2,"['C7.1.1.2.1', 'C7.1.1.2.2']"
