time,event,input,output
0,begin,[],C1
76,out,C1,[]
0,begin,[],C2
142,div,C2,"['C2.1', 'C2.2']"
355,out,C2.1,[]
276,div,C2.2,"['C2.2.1', 'C2.2.2']"
477,out,C2.2.1,[]
721,end,C2.2.2,[]
0,begin,[],C3
310,div,C3,"['C3.1', 'C3.2', 'C3.3']"
389,death,C3.1,[]
390,death,C3.2,[]
392,death,C3.3,[]
0,begin,[],C4
0,begin,[],C5
5,div,C4,"['C4.1', 'C4.2']"
6,fusion,"['C4.1', 'C4.2', 'C5']",C4.4
308,div,C4.4,"['C4.4.1', 'C4.4.2', 'C4.4.3']"
313,fusion,"['C4.4.1', 'C4.4.2']",C4.5
341,fusion,"['C4.5', 'C4.4.3']",C4.6
482,death,C4.6,[]
0,begin,[],C6
352,div,C6,"['C6.1', 'C6.2', 'C6.3', 'C6.4', 'C6.5']"
360,out,C6.1,[]
357,fusion,"['C6.2', 'C6.3']",C6.6
360,fusion,"['C6.6', 'C6.4']",C6.7
371,fusion,"['C6.7', 'C6.5']",C6.8
492,death,C6.8,[]
0,begin,[],C7
135,div,C7,"['C7.1', 'C7.2']"
245,div,C7.1,"['C7.1.1', 'C7.1.2']"
369,div,C7.1.1,"['C7.1.1.1', 'C7.1.1.2']"
721,end,C7.1.1.1,[]
531,div,C7.1.1.2,"['C7.1.1.2.1', 'C7.1.1.2.2']"
569,death,C7.1.1.2.1,[]
568,death,C7.1.1.2.2,[]
331,fusion,"['C7.1.2', 'C7.2']",C7.3
361,div,C7.3,"['C7.3.1', 'C7.3.2', 'C7.3.3', 'C7.3.4', 'C7.3.5']"
449,death,C7.3.5,[]
375,fusion,"['C7.3.1', 'C7.3.2']",C7.4
377,fusion,"['C7.4', 'C7.3.3']",C7.5
384,fusion,"['C7.5', 'C7.3.4']",C7.6
445,death,C7.6,[]
0,begin,[],C8
149,div,C8,"['C8.1', 'C8.2']"
503,death,C8.1,[]
495,out,C8.2,[]
0,begin,[],C9
307,death,C9,[]
0,begin,[],C10
347,div,C10,"['C10.1', 'C10.2']"
426,death,C10.1,[]
414,death,C10.2,[]
0,begin,[],C11
27,death,C11,[]
0,begin,[],C12
320,div,C12,"['C12.1', 'C12.2', 'C12.3']"
327,fusion,"['C12.1', 'C12.2']",C12.4
481,death,C12.4,[]
455,death,C12.3,[]
0,begin,[],C13
393,death,C13,[]
0,begin,[],C14
253,death,C14,[]
0,begin,[],C15
329,div,C15,"['C15.1', 'C15.2', 'C15.3']"
343,death,C15.1,[]
340,fusion,"['C15.2', 'C15.3']",C15.4
342,death,C15.4,[]
0,begin,[],C16
123,death,C16,[]
