time,event,input,output
0,begin,[],C1
297,div,C1,"['C1.1', 'C1.2', 'C1.3']"
298,death,C1.1,[]
298,death,C1.2,[]
298,death,C1.3,[]
0,begin,[],C2
277,div,C2,"['C2.1', 'C2.2']"
386,death,C2.1,[]
290,death,C2.2,[]
0,begin,[],C3
18,out,C3,[]
0,begin,[],C4
346,death,C4,[]
0,begin,[],C5
133,div,C5,"['C5.1', 'C5.2', 'C5.3']"
265,div,C5.1,"['C5.1.1', 'C5.1.2']"
721,end,C5.1.2,[]
552,div,C5.1.1,"['C5.1.1.1', 'C5.1.1.2']"
721,end,C5.1.1.1,[]
721,end,C5.1.1.2,[]
447,death,C5.2,[]
249,div,C5.3,"['C5.3.1', 'C5.3.2']"
558,div,C5.3.1,"['C5.3.1.1', 'C5.3.1.2', 'C5.3.1.3']"
703,death,C5.3.1.1,[]
660,death,C5.3.1.2,[]
616,death,C5.3.1.3,[]
497,div,C5.3.2,"['C5.3.2.1', 'C5.3.2.2']"
519,fusion,"['C5.3.2.1', 'C5.3.2.2']",C5.4
721,end,C5.4,[]
0,begin,[],C6
167,div,C6,"['C6.1', 'C6.2']"
449,out,C6.1,[]
359,out,C6.2,[]
0,begin,[],C7
158,out,C7,[]
0,begin,[],C8
319,death,C8,[]
0,begin,[],C9
375,div,C9,"['C9.1', 'C9.2', 'C9.3']"
388,fusion,"['C9.1', 'C9.2']",C9.4
390,fusion,"['C9.4', 'C9.3']",C9.5
650,death,C9.5,[]
0,begin,[],C10
280,death,C10,[]
0,begin,[],C11
217,out,C11,[]
0,begin,[],C12
355,out,C12,[]
0,begin,[],C13
330,div,C13,"['C13.1', 'C13.2', 'C13.3']"
389,fusion,"['C13.1', 'C13.2']",C13.4
535,fusion,"['C13.4', 'C13.3']",C13.5
721,end,C13.5,[]
0,begin,[],C14
310,div,C14,"['C14.1', 'C14.2']"
494,fusion,"['C14.1', 'C14.2']",C14.3
721,end,C14.3,[]
0,begin,[],C15
318,div,C15,"['C15.1', 'C15.2', 'C15.3']"
328,fusion,"['C15.1', 'C15.2']",C15.4
343,fusion,"['C15.4', 'C15.3']",C15.5
721,end,C15.5,[]
0,begin,[],C16
721,end,C16,[]
0,begin,[],C17
189,div,C17,"['C17.1', 'C17.2', 'C17.3']"
453,fusion,"['C17.1', 'C17.2']",C17.4
721,end,C17.4,[]
322,div,C17.3,"['C17.3.1', 'C17.3.2']"
585,div,C17.3.1,"['C17.3.1.1', 'C17.3.1.2']"
721,end,C17.3.1.1,[]
721,end,C17.3.1.2,[]
566,div,C17.3.2,"['C17.3.2.1', 'C17.3.2.2']"
721,end,C17.3.2.1,[]
692,div,C17.3.2.2,"['C17.3.2.2.1', 'C17.3.2.2.2']"
721,end,C17.3.2.2.1,[]
721,end,C17.3.2.2.2,[]
0,begin,[],C18
151,out,C18,[]
