time,event,input,output
0,begin,[],C1
192,div,C1,"['C1.1', 'C1.2']"
351,div,C1.1,"['C1.1.1', 'C1.1.2']"
432,end,C1.1.1,[]
432,end,C1.1.2,[]
339,div,C1.2,"['C1.2.1', 'C1.2.2']"
432,end,C1.2.2,[]
432,end,C1.2.1,[]
0,begin,[],C2
270,div,C2,"['C2.1', 'C2.2', 'C2.3']"
391,death,C2.3,[]
432,end,C2.1,[]
432,end,C2.2,[]
0,begin,[],C3
58,div,C3,"['C3.1', 'C3.2']"
174,death,C3.1,[]
243,div,C3.2,"['C3.2.1', 'C3.2.2']"
367,div,C3.2.1,"['C3.2.1.1', 'C3.2.1.2']"
432,end,C3.2.1.1,[]
432,end,C3.2.1.2,[]
366,div,C3.2.2,"['C3.2.2.1', 'C3.2.2.2']"
432,end,C3.2.2.1,[]
432,end,C3.2.2.2,[]
0,begin,[],C4
202,div,C4,"['C4.1', 'C4.2']"
284,death,C4.1,[]
338,div,C4.2,"['C4.2.1', 'C4.2.2']"
432,end,C4.2.1,[]
431,div,C4.2.2,"['C4.2.2.1', 'C4.2.2.2']"
432,end,C4.2.2.1,[]
432,end,C4.2.2.2,[]
0,begin,[],C6
177,div,C6,"['C6.1', 'C6.2']"
314,div,C6.1,"['C6.1.1', 'C6.1.2']"
432,end,C6.1.1,[]
431,div,C6.1.2,"['C6.1.2.1', 'C6.1.2.2']"
432,end,C6.1.2.1,[]
432,end,C6.1.2.2,[]
295,div,C6.2,"['C6.2.1', 'C6.2.2']"
413,div,C6.2.1,"['C6.2.1.1', 'C6.2.1.2']"
432,end,C6.2.1.1,[]
432,end,C6.2.1.2,[]
403,div,C6.2.2,"['C6.2.2.1', 'C6.2.2.2']"
432,end,C6.2.2.1,[]
432,end,C6.2.2.2,[]
0,begin,[],C7
281,out,C7,[]
