time,event,input,output
0,begin,[],C1
207,death,C1,[]
0,begin,[],C2
171,out,C2,[]
0,begin,[],C3
170,div,C3,"['C3.1', 'C3.2']"
432,end,C3.1,[]
432,end,C3.2,[]
0,begin,[],C4
222,div,C4,"['C4.1', 'C4.2']"
432,end,C4.1,[]
406,death,C4.2,[]
0,begin,[],C5
53,div,C5,"['C5.1', 'C5.2']"
194,div,C5.1,"['C5.1.1', 'C5.1.2']"
432,end,C5.1.1,[]
432,end,C5.1.2,[]
193,div,C5.2,"['C5.2.1', 'C5.2.2']"
325,div,C5.2.1,"['C5.2.1.1', 'C5.2.1.2']"
432,end,C5.2.1.1,[]
432,end,C5.2.1.2,[]
314,div,C5.2.2,"['C5.2.2.1', 'C5.2.2.2']"
432,end,C5.2.2.1,[]
432,end,C5.2.2.2,[]
0,begin,[],C6
68,div,C6,"['C6.1', 'C6.2']"
181,div,C6.1,"['C6.1.1', 'C6.1.2']"
308,div,C6.1.1,"['C6.1.1.1', 'C6.1.1.2']"
432,end,C6.1.1.1,[]
432,end,C6.1.1.2,[]
325,div,C6.1.2,"['C6.1.2.1', 'C6.1.2.2']"
432,end,C6.1.2.1,[]
432,end,C6.1.2.2,[]
177,div,C6.2,"['C6.2.1', 'C6.2.2']"
326,div,C6.2.1,"['C6.2.1.1', 'C6.2.1.2']"
432,end,C6.2.1.1,[]
432,end,C6.2.1.2,[]
302,div,C6.2.2,"['C6.2.2.1', 'C6.2.2.2']"
432,end,C6.2.2.1,[]
432,end,C6.2.2.2,[]
0,begin,[],C7
86,div,C7,"['C7.1', 'C7.2']"
370,div,C7.1,"['C7.1.1', 'C7.1.2']"
432,end,C7.1.1,[]
432,end,C7.1.2,[]
338,div,C7.2,"['C7.2.1', 'C7.2.2']"
432,end,C7.2.1,[]
432,end,C7.2.2,[]
0,begin,[],C8
11,div,C8,"['C8.1', 'C8.2']"
220,div,C8.1,"['C8.1.1', 'C8.1.2']"
359,div,C8.1.1,"['C8.1.1.1', 'C8.1.1.2']"
432,end,C8.1.1.1,[]
432,end,C8.1.1.2,[]
356,div,C8.1.2,"['C8.1.2.1', 'C8.1.2.2']"
432,end,C8.1.2.1,[]
432,end,C8.1.2.2,[]
207,div,C8.2,"['C8.2.1', 'C8.2.2']"
368,div,C8.2.1,"['C8.2.1.1', 'C8.2.1.2']"
432,end,C8.2.1.1,[]
432,end,C8.2.1.2,[]
368,div,C8.2.2,"['C8.2.2.1', 'C8.2.2.2']"
432,end,C8.2.2.1,[]
432,end,C8.2.2.2,[]
0,begin,[],C9
157,div,C9,"['C9.1', 'C9.2']"
309,div,C9.1,"['C9.1.1', 'C9.1.2']"
432,end,C9.1.1,[]
432,end,C9.1.2,[]
306,div,C9.2,"['C9.2.1', 'C9.2.2']"
432,end,C9.2.1,[]
432,end,C9.2.2,[]
0,begin,[],C10
123,div,C10,"['C10.1', 'C10.2']"
270,div,C10.1,"['C10.1.1', 'C10.1.2']"
432,end,C10.1.1,[]
432,end,C10.1.2,[]
267,div,C10.2,"['C10.2.1', 'C10.2.2']"
342,death,C10.2.1,[]
413,div,C10.2.2,"['C10.2.2.1', 'C10.2.2.2']"
432,end,C10.2.2.1,[]
432,end,C10.2.2.2,[]
0,begin,[],C11
166,div,C11,"['C11.1', 'C11.2']"
301,div,C11.1,"['C11.1.1', 'C11.1.2']"
432,end,C11.1.1,[]
432,end,C11.1.2,[]
300,div,C11.2,"['C11.2.1', 'C11.2.2']"
432,end,C11.2.1,[]
432,end,C11.2.2,[]
0,begin,[],C12
183,div,C12,"['C12.1', 'C12.2']"
333,div,C12.1,"['C12.1.1', 'C12.1.2']"
330,div,C12.2,"['C12.2.1', 'C12.2.2']"
432,end,C12.2.1,[]
432,end,C12.2.2,[]
432,end,C12.1.1,[]
432,end,C12.1.2,[]
0,begin,[],C13
111,div,C13,"['C13.1', 'C13.2']"
255,div,C13.1,"['C13.1.1', 'C13.1.2']"
420,div,C13.1.1,"['C13.1.1.1', 'C13.1.1.2']"
432,end,C13.1.1.1,[]
432,end,C13.1.1.2,[]
422,div,C13.1.2,"['C13.1.2.1', 'C13.1.2.2']"
432,end,C13.1.2.1,[]
432,end,C13.1.2.2,[]
248,div,C13.2,"['C13.2.1', 'C13.2.2']"
432,end,C13.2.2,[]
401,div,C13.2.1,"['C13.2.1.1', 'C13.2.1.2']"
432,end,C13.2.1.1,[]
432,end,C13.2.1.2,[]
0,begin,[],C14
144,div,C14,"['C14.1', 'C14.2']"
268,div,C14.1,"['C14.1.1', 'C14.1.2']"
395,div,C14.1.1,"['C14.1.1.1', 'C14.1.1.2']"
432,end,C14.1.1.1,[]
432,end,C14.1.1.2,[]
401,div,C14.1.2,"['C14.1.2.1', 'C14.1.2.2']"
432,end,C14.1.2.1,[]
432,end,C14.1.2.2,[]
271,div,C14.2,"['C14.2.1', 'C14.2.2']"
432,end,C14.2.1,[]
432,end,C14.2.2,[]
