time,event,input,output
0,begin,[],C1
490,death,C1,[]
0,begin,[],C2
382,div,C2,"['C2.1', 'C2.2']"
435,fusion,"['C2.1', 'C2.2']",C2.3
460,death,C2.3,[]
0,begin,[],C3
174,div,C3,"['C3.1', 'C3.2']"
551,death,C3.2,[]
351,div,C3.1,"['C3.1.1', 'C3.1.2']"
721,end,C3.1.1,[]
511,div,C3.1.2,"['C3.1.2.1', 'C3.1.2.2']"
721,end,C3.1.2.1,[]
721,end,C3.1.2.2,[]
0,begin,[],C4
222,div,C4,"['C4.1', 'C4.2']"
544,out,C4.1,[]
717,div,C4.2,"['C4.2.1', 'C4.2.2', 'C4.2.3', 'C4.2.4']"
721,end,C4.2.1,[]
721,end,C4.2.2,[]
721,end,C4.2.3,[]
721,end,C4.2.4,[]
0,begin,[],C5
295,div,C5,"['C5.1', 'C5.2']"
299,death,C5.1,[]
299,death,C5.2,[]
0,begin,[],C6
161,div,C6,"['C6.1', 'C6.2']"
302,div,C6.1,"['C6.1.1', 'C6.1.2']"
588,death,C6.1.2,[]
671,div,C6.1.1,"['C6.1.1.1', 'C6.1.1.2', 'C6.1.1.3']"
682,fusion,"['C6.1.1.1', 'C6.1.1.2']",C6.3
697,fusion,"['C6.1.1.3', 'C6.3']",C6.4
703,death,C6.4,[]
282,div,C6.2,"['C6.2.1', 'C6.2.2']"
588,death,C6.2.1,[]
446,div,C6.2.2,"['C6.2.2.1', 'C6.2.2.2']"
471,fusion,"['C6.2.2.1', 'C6.2.2.2']",C6.5
516,div,C6.5,"['C6.5.1', 'C6.5.2']"
542,death,C6.5.1,[]
542,death,C6.5.2,[]
0,begin,[],C7
135,div,C7,"['C7.1', 'C7.2']"
301,fusion,"['C7.1', 'C7.2']",C7.3
317,div,C7.3,"['C7.3.1', 'C7.3.2', 'C7.3.3']"
362,death,C7.3.2,[]
543,div,C7.3.3,"['C7.3.3.1', 'C7.3.3.2', 'C7.3.3.3']"
569,fusion,"['C7.3.3.1', 'C7.3.3.2', 'C7.3.3.3']",C7.4
595,fusion,"['C7.4', 'C7.3.1']",C7.5
721,end,C7.5,[]
0,begin,[],C8
254,div,C8,"['C8.1', 'C8.2', 'C8.3']"
364,death,C8.1,[]
273,fusion,"['C8.2', 'C8.3']",C8.4
391,death,C8.4,[]
0,begin,[],C9
122,div,C9,"['C9.1', 'C9.2']"
721,end,C9.1,[]
288,div,C9.2,"['C9.2.1', 'C9.2.2']"
721,end,C9.2.1,[]
505,div,C9.2.2,"['C9.2.2.1', 'C9.2.2.2']"
721,end,C9.2.2.1,[]
721,end,C9.2.2.2,[]
0,begin,[],C10
159,div,C10,"['C10.1', 'C10.2']"
230,fusion,"['C10.1', 'C10.2']",C10.4
311,div,C10.4,"['C10.4.1', 'C10.4.2', 'C10.4.3', 'C10.4.4']"
318,out,C10.4.1,[]
318,out,C10.4.2,[]
318,out,C10.4.3,[]
318,out,C10.4.4,[]
0,begin,[],C11
391,div,C11,"['C11.1', 'C11.2', 'C11.3', 'C11.4', 'C11.5']"
394,fusion,"['C11.1', 'C11.2']",C11.6
400,death,C11.6,[]
400,death,C11.3,[]
392,fusion,"['C11.4', 'C11.5']",C11.7
400,death,C11.7,[]
0,begin,[],C12
206,out,C12,[]
0,begin,[],C13
