time,event,input,output
0,begin,[],C1
616,div,C1,"['C1.1', 'C1.2', 'C1.3', 'C1.4']"
630,fusion,"['C1.1', 'C1.2', 'C1.3', 'C1.4']",C1.5
646,death,C1.5,[]
0,begin,[],C2
299,death,C2,[]
0,begin,[],C3
520,div,C3,"['C3.1', 'C3.2', 'C3.3', 'C3.4']"
525,fusion,"['C3.1', 'C3.2']",C3.5
538,fusion,"['C3.5', 'C3.3']",C3.6
552,fusion,"['C3.6', 'C3.4']",C3.7
636,death,C3.7,[]
0,begin,[],C4
1,out,C4,[]
0,begin,[],C5
32,out,C5,[]
0,begin,[],C6
333,div,C6,"['C6.1', 'C6.2']"
366,fusion,"['C6.1', 'C6.2']",C6.3
450,death,C6.3,[]
0,begin,[],C7
616,div,C7,"['C7.1', 'C7.2', 'C7.3', 'C7.4']"
632,fusion,"['C7.1', 'C7.2']",C7.5
635,fusion,"['C7.3', 'C7.4']",C7.6
637,fusion,"['C7.5', 'C7.6']",C7.7
672,death,C7.7,[]
0,begin,[],C8
396,out,C8,[]
0,begin,[],C9
162,div,C9,"['C9.1', 'C9.2']"
394,div,C9.1,"['C9.1.1', 'C9.1.2', 'C9.1.3']"
553,death,C9.1.1,[]
420,fusion,"['C9.1.2', 'C9.1.3']",C9.3
721,end,C9.3,[]
300,div,C9.2,"['C9.2.1', 'C9.2.2']"
466,fusion,"['C9.2.1', 'C9.2.2']",C9.4
632,death,C9.4,[]
0,begin,[],C10
1,out,C10,[]
0,begin,[],C11
477,div,C11,"['C11.1', 'C11.2', 'C11.3', 'C11.4']"
490,fusion,"['C11.1', 'C11.2']",C11.5
488,fusion,"['C11.3', 'C11.4']",C11.6
501,fusion,"['C11.5', 'C11.6']",C11.7
721,end,C11.7,[]
0,begin,[],C12
199,div,C12,"['C12.1', 'C12.2']"
437,div,C12.1,"['C12.1.1', 'C12.1.2']"
721,end,C12.1.1,[]
721,end,C12.1.2,[]
368,div,C12.2,"['C12.2.1', 'C12.2.2']"
376,fusion,"['C12.2.1', 'C12.2.2']",C12.3
655,death,C12.3,[]
0,begin,[],C13
179,div,C13,"['C13.1', 'C13.2']"
446,death,C13.1,[]
340,div,C13.2,"['C13.2.1', 'C13.2.2']"
717,death,C13.2.1,[]
566,div,C13.2.2,"['C13.2.2.1', 'C13.2.2.2']"
721,end,C13.2.2.1,[]
721,end,C13.2.2.2,[]
0,begin,[],C14
121,div,C14,"['C14.1', 'C14.2', 'C14.3']"
131,death,C14.1,[]
131,death,C14.2,[]
132,death,C14.3,[]
0,begin,[],C15
220,div,C15,"['C15.1', 'C15.2', 'C15.3']"
245,fusion,"['C15.1', 'C15.2']",C15.4
249,fusion,"['C15.4', 'C15.3']",C15.5
664,death,C15.5,[]
0,begin,[],C16
247,div,C16,"['C16.1', 'C16.2']"
424,fusion,"['C16.1', 'C16.2']",C16.3
669,death,C16.3,[]
0,begin,[],C17
339,div,C17,"['C17.1', 'C17.2', 'C17.3']"
513,death,C17.1,[]
593,death,C17.2,[]
697,death,C17.3,[]
0,begin,[],C18
430,div,C18,"['C18.1', 'C18.2', 'C18.3']"
444,fusion,"['C18.1', 'C18.2']",C18.4
461,fusion,"['C18.4', 'C18.3']",C18.5
465,death,C18.5,[]
0,begin,[],C19
280,div,C19,"['C19.1', 'C19.2', 'C19.3']"
300,fusion,"['C19.1', 'C19.2']",C19.4
341,fusion,"['C19.4', 'C19.3']",C19.5
508,death,C19.5,[]
0,begin,[],C20
363,div,C20,"['C20.1', 'C20.2', 'C20.3']"
395,fusion,"['C20.1', 'C20.2']",C20.4
453,death,C20.4,[]
536,div,C20.3,"['C20.3.1', 'C20.3.2']"
583,out,C20.3.1,[]
703,div,C20.3.2,"['C20.3.2.1', 'C20.3.2.2']"
721,end,C20.3.2.1,[]
721,end,C20.3.2.2,[]
0,begin,[],C21
234,div,C21,"['C21.1', 'C21.2']"
497,death,C21.1,[]
359,div,C21.2,"['C21.2.1', 'C21.2.2']"
695,div,C21.2.1,"['C21.2.1.1', 'C21.2.1.2', 'C21.2.1.3']"
721,end,C21.2.1.1,[]
721,end,C21.2.1.2,[]
721,end,C21.2.1.3,[]
494,div,C21.2.2,"['C21.2.2.1', 'C21.2.2.2']"
505,out,C21.2.2.1,[]
505,out,C21.2.2.2,[]
0,begin,[],C22
222,out,C22,[]
