time,event,input,output
0,begin,[],C1
225,death,C1,[]
0,begin,[],C2
233,out,C2,[]
0,begin,[],C3
71,out,C3,[]
0,begin,[],C4
54,out,C4,[]
0,begin,[],C5
721,end,C5,[]
0,begin,[],C6
469,div,C6,"['C6.1', 'C6.2', 'C6.3', 'C6.4', 'C6.5']"
508,death,C6.1,[]
491,fusion,"['C6.2', 'C6.3', 'C6.4', 'C6.5']",C6.6
585,death,C6.6,[]
0,begin,[],C7
234,div,C7,"['C7.1', 'C7.2', 'C7.3', 'C7.4']"
252,fusion,"['C7.1', 'C7.2']",C7.6
251,fusion,"['C7.3', 'C7.4']",C7.5
323,fusion,"['C7.5', 'C7.6']",C7.7
412,div,C7.7,"['C7.7.1', 'C7.7.2', 'C7.7.3', 'C7.7.4']"
531,death,C7.7.1,[]
462,fusion,"['C7.7.2', 'C7.7.3']",C7.8
482,fusion,"['C7.8', 'C7.7.4']",C7.9
588,death,C7.9,[]
0,begin,[],C8
271,div,C8,"['C8.1', 'C8.2', 'C8.3']"
284,fusion,"['C8.1', 'C8.2']",C8.4
293,fusion,"['C8.4', 'C8.3']",C8.5
397,death,C8.5,[]
0,begin,[],C9
359,out,C9,[]
0,begin,[],C10
434,div,C10,"['C10.1', 'C10.2']"
444,fusion,"['C10.1', 'C10.2']",C10.3
498,death,C10.3,[]
0,begin,[],C11
323,out,C11,[]
0,begin,[],C12
130,out,C12,[]
0,begin,[],C13
356,div,C13,"['C13.1', 'C13.2']"
400,fusion,"['C13.1', 'C13.2']",C13.3
506,death,C13.3,[]
0,begin,[],C14
6,out,C14,[]
0,begin,[],C15
16,out,C15,[]
0,begin,[],C16
414,div,C16,"['C16.1', 'C16.2', 'C16.3']"
487,death,C16.1,[]
458,fusion,"['C16.2', 'C16.3']",C16.4
560,death,C16.4,[]
0,begin,[],C17
403,div,C17,"['C17.1', 'C17.2', 'C17.3', 'C17.4']"
451,fusion,"['C17.1', 'C17.2', 'C17.3', 'C17.4']",C17.5
568,death,C17.5,[]
0,begin,[],C18
39,out,C18,[]
