time,event,input,output
0,begin,[],C1
149,div,C1,"['C1.1', 'C1.2']"
316,div,C1.1,"['C1.1.1', 'C1.1.2']"
576,end,C1.1.1,[]
576,end,C1.1.2,[]
301,div,C1.2,"['C1.2.1', 'C1.2.2']"
576,end,C1.2.1,[]
576,end,C1.2.2,[]
0,begin,[],C2
132,div,C2,"['C2.1', 'C2.2']"
576,end,C2.1,[]
419,div,C2.2,"['C2.2.1', 'C2.2.2']"
576,end,C2.2.1,[]
576,end,C2.2.2,[]
0,begin,[],C3
109,div,C3,"['C3.1', 'C3.2']"
369,div,C3.1,"['C3.1.1', 'C3.1.2', 'C3.1.3']"
576,end,C3.1.1,[]
576,end,C3.1.2,[]
576,end,C3.1.3,[]
306,div,C3.2,"['C3.2.1', 'C3.2.2']"
576,end,C3.2.1,[]
576,end,C3.2.2,[]
0,begin,[],C4
19,div,C4,"['C4.1', 'C4.2']"
176,div,C4.1,"['C4.1.1', 'C4.1.2']"
328,div,C4.1.1,"['C4.1.1.1', 'C4.1.1.2']"
576,end,C4.1.1.1,[]
576,end,C4.1.1.2,[]
326,div,C4.1.2,"['C4.1.2.1', 'C4.1.2.2']"
576,end,C4.1.2.1,[]
576,end,C4.1.2.2,[]
175,div,C4.2,"['C4.2.1', 'C4.2.2']"
338,div,C4.2.1,"['C4.2.1.1', 'C4.2.1.2']"
493,div,C4.2.1.1,"['C4.2.1.1.1', 'C4.2.1.1.2']"
576,end,C4.2.1.1.1,[]
576,end,C4.2.1.1.2,[]
507,div,C4.2.1.2,"['C4.2.1.2.1', 'C4.2.1.2.2']"
576,end,C4.2.1.2.1,[]
576,end,C4.2.1.2.2,[]
340,div,C4.2.2,"['C4.2.2.1', 'C4.2.2.2']"
532,div,C4.2.2.1,"['C4.2.2.1.1', 'C4.2.2.1.2']"
576,end,C4.2.2.1.1,[]
576,end,C4.2.2.1.2,[]
463,div,C4.2.2.2,"['C4.2.2.2.1', 'C4.2.2.2.2']"
576,end,C4.2.2.2.1,[]
576,end,C4.2.2.2.2,[]
0,begin,[],C5
103,div,C5,"['C5.1', 'C5.2']"
377,div,C5.1,"['C5.1.1', 'C5.1.2']"
494,div,C5.1.1,"['C5.1.1.1', 'C5.1.1.2']"
576,end,C5.1.1.1,[]
576,end,C5.1.1.2,[]
507,div,C5.1.2,"['C5.1.2.1', 'C5.1.2.2']"
576,end,C5.1.2.1,[]
576,end,C5.1.2.2,[]
262,div,C5.2,"['C5.2.1', 'C5.2.2']"
355,out,C5.2.1,[]
430,div,C5.2.2,"['C5.2.2.1', 'C5.2.2.2']"
576,end,C5.2.2.1,[]
576,end,C5.2.2.2,[]
0,begin,[],C6
84,div,C6,"['C6.1', 'C6.2']"
314,div,C6.1,"['C6.1.1', 'C6.1.2']"
422,death,C6.1.1,[]
451,death,C6.1.2,[]
283,div,C6.2,"['C6.2.1', 'C6.2.2']"
419,div,C6.2.1,"['C6.2.1.1', 'C6.2.1.2']"
423,death,C6.2.1.1,[]
423,death,C6.2.1.2,[]
415,div,C6.2.2,"['C6.2.2.1', 'C6.2.2.2']"
576,end,C6.2.2.1,[]
576,end,C6.2.2.2,[]
