time,event,input,output
0,begin,[],C1
108,div,C1,"['C1.1', 'C1.2']"
109,out,C1.1,[]
250,div,C1.2,"['C1.2.1', 'C1.2.2']"
505,div,C1.2.1,"['C1.2.1.1', 'C1.2.1.2']"
576,end,C1.2.1.1,[]
576,end,C1.2.1.2,[]
467,div,C1.2.2,"['C1.2.2.1', 'C1.2.2.2']"
576,end,C1.2.2.1,[]
576,end,C1.2.2.2,[]
0,begin,[],C2
111,div,C2,"['C2.1', 'C2.2']"
313,div,C2.1,"['C2.1.1', 'C2.1.2']"
458,out,C2.1.1,[]
397,out,C2.1.2,[]
292,div,C2.2,"['C2.2.1', 'C2.2.2']"
426,death,C2.2.1,[]
424,div,C2.2.2,"['C2.2.2.1', 'C2.2.2.2']"
576,end,C2.2.2.1,[]
534,div,C2.2.2.2,"['C2.2.2.2.1', 'C2.2.2.2.2']"
576,end,C2.2.2.2.1,[]
576,end,C2.2.2.2.2,[]
0,begin,[],C3
160,div,C3,"['C3.1', 'C3.2']"
309,div,C3.1,"['C3.1.1', 'C3.1.2']"
429,div,C3.1.1,"['C3.1.1.1', 'C3.1.1.2']"
576,end,C3.1.1.1,[]
576,end,C3.1.1.2,[]
458,div,C3.1.2,"['C3.1.2.1', 'C3.1.2.2']"
576,end,C3.1.2.1,[]
550,div,C3.1.2.2,"['C3.1.2.2.1', 'C3.1.2.2.2']"
576,end,C3.1.2.2.1,[]
576,end,C3.1.2.2.2,[]
334,div,C3.2,"['C3.2.1', 'C3.2.2']"
426,div,C3.2.1,"['C3.2.1.1', 'C3.2.1.2']"
547,div,C3.2.1.1,"['C3.2.1.1.1', 'C3.2.1.1.2']"
576,end,C3.2.1.1.1,[]
576,end,C3.2.1.1.2,[]
535,div,C3.2.1.2,"['C3.2.1.2.1', 'C3.2.1.2.2']"
576,end,C3.2.1.2.1,[]
576,end,C3.2.1.2.2,[]
420,div,C3.2.2,"['C3.2.2.1', 'C3.2.2.2']"
576,end,C3.2.2.1,[]
576,end,C3.2.2.2,[]
0,begin,[],C4
61,div,C4,"['C4.1', 'C4.2']"
254,div,C4.1,"['C4.1.1', 'C4.1.2']"
576,end,C4.1.1,[]
494,div,C4.1.2,"['C4.1.2.1', 'C4.1.2.2']"
576,end,C4.1.2.1,[]
576,end,C4.1.2.2,[]
244,div,C4.2,"['C4.2.1', 'C4.2.2']"
420,div,C4.2.1,"['C4.2.1.1', 'C4.2.1.2']"
576,end,C4.2.1.1,[]
576,end,C4.2.1.2,[]
437,div,C4.2.2,"['C4.2.2.1', 'C4.2.2.2']"
576,end,C4.2.2.1,[]
576,end,C4.2.2.2,[]
0,begin,[],C5
58,div,C5,"['C5.1', 'C5.2']"
576,end,C5.1,[]
263,div,C5.2,"['C5.2.1', 'C5.2.2']"
426,div,C5.2.1,"['C5.2.1.1', 'C5.2.1.2']"
576,end,C5.2.1.1,[]
576,end,C5.2.1.2,[]
467,div,C5.2.2,"['C5.2.2.1', 'C5.2.2.2']"
537,fusion,"['C5.2.2.1', 'C5.2.2.2']",C5.3
576,end,C5.3,[]
0,begin,[],C6
67,div,C6,"['C6.1', 'C6.2']"
332,div,C6.1,"['C6.1.1', 'C6.1.2']"
576,end,C6.1.1,[]
576,end,C6.1.2,[]
328,div,C6.2,"['C6.2.1', 'C6.2.2']"
576,end,C6.2.1,[]
576,end,C6.2.2,[]
0,begin,[],C7
90,div,C7,"['C7.1', 'C7.2']"
257,out,C7.1,[]
275,div,C7.2,"['C7.2.1', 'C7.2.2']"
276,out,C7.2.1,[]
276,end,C7.2.2,[]
