time,event,input,output
0,begin,[],C1
362,div,C1,"['C1.1', 'C1.2', 'C1.3']"
383,fusion,"['C1.1', 'C1.2']",C1.4
389,fusion,"['C1.4', 'C1.3']",C1.5
510,death,C1.5,[]
0,begin,[],C2
120,out,C2,[]
0,begin,[],C3
217,div,C3,"['C3.1', 'C3.2', 'C3.3']"
336,fusion,"['C3.1', 'C3.2']",C3.4
391,death,C3.4,[]
280,death,C3.3,[]
0,begin,[],C4
96,div,C4,"['C4.1', 'C4.2']"
282,div,C4.1,"['C4.1.1', 'C4.1.2']"
326,death,C4.1.1,[]
474,out,C4.1.2,[]
238,div,C4.2,"['C4.2.1', 'C4.2.2']"
582,div,C4.2.1,"['C4.2.1.1', 'C4.2.1.2']"
635,death,C4.2.1.1,[]
639,death,C4.2.1.2,[]
430,div,C4.2.2,"['C4.2.2.1', 'C4.2.2.2']"
443,out,C4.2.2.1,[]
465,div,C4.2.2.2,"['C4.2.2.2.1', 'C4.2.2.2.2']"
516,fusion,"['C4.2.2.2.1', 'C4.2.2.2.2']",C4.4
721,end,C4.4,[]
0,begin,[],C5
217,div,C5,"['C5.1', 'C5.2', 'C5.3']"
280,death,C5.1,[]
330,fusion,"['C5.2', 'C5.3']",C5.4
391,death,C5.4,[]
0,begin,[],C6
120,death,C6,[]
0,begin,[],C7
190,div,C7,"['C7.1', 'C7.2']"
406,div,C7.1,"['C7.1.1', 'C7.1.2']"
534,div,C7.1.2,"['C7.1.2.1', 'C7.1.2.2']"
721,end,C7.1.2.1,[]
721,end,C7.1.2.2,[]
529,div,C7.1.1,"['C7.1.1.1', 'C7.1.1.2']"
651,div,C7.1.1.1,"['C7.1.1.1.1', 'C7.1.1.1.2']"
671,div,C7.1.1.2,"['C7.1.1.2.1', 'C7.1.1.2.2']"
721,end,C7.1.1.1.1,[]
721,end,C7.1.1.1.2,[]
721,end,C7.1.1.2.1,[]
721,end,C7.1.1.2.2,[]
404,div,C7.2,"['C7.2.1', 'C7.2.2']"
523,div,C7.2.1,"['C7.2.1.1', 'C7.2.1.2']"
676,div,C7.2.1.1,"['C7.2.1.1.1', 'C7.2.1.1.2']"
678,div,C7.2.1.2,"['C7.2.1.2.1', 'C7.2.1.2.2']"
721,end,C7.2.1.1.1,[]
721,end,C7.2.1.1.2,[]
721,end,C7.2.1.2.1,[]
721,end,C7.2.1.2.2,[]
515,div,C7.2.2,"['C7.2.2.1', 'C7.2.2.2']"
649,div,C7.2.2.1,"['C7.2.2.1.1', 'C7.2.2.1.2']"
721,end,C7.2.2.1.1,[]
721,end,C7.2.2.1.2,[]
631,div,C7.2.2.2,"['C7.2.2.2.1', 'C7.2.2.2.2']"
721,end,C7.2.2.2.1,[]
721,end,C7.2.2.2.2,[]
0,begin,[],C8
161,div,C8,"['C8.1', 'C8.2']"
