time,event,input,output
0,begin,[],C1
19,out,C1,[]
0,begin,[],C2
103,div,C2,"['C2.1', 'C2.2']"
262,div,C2.1,"['C2.1.1', 'C2.1.2']"
629,out,C2.1.1,[]
638,out,C2.1.2,[]
263,div,C2.2,"['C2.2.1', 'C2.2.2']"
468,div,C2.2.1,"['C2.2.1.1', 'C2.2.1.2']"
660,out,C2.2.1.1,[]
620,out,C2.2.1.2,[]
419,div,C2.2.2,"['C2.2.2.1', 'C2.2.2.2']"
631,out,C2.2.2.1,[]
679,out,C2.2.2.2,[]
0,begin,[],C3
167,div,C3,"['C3.1', 'C3.2']"
523,death,C3.1,[]
331,out,C3.2,[]
0,begin,[],C4
165,div,C4,"['C4.1', 'C4.2']"
561,death,C4.1,[]
286,div,C4.2,"['C4.2.1', 'C4.2.2']"
367,out,C4.2.2,[]
454,div,C4.2.1,"['C4.2.1.1', 'C4.2.1.2']"
711,div,C4.2.1.1,"['C4.2.1.1.1', 'C4.2.1.1.2', 'C4.2.1.1.3']"
721,end,C4.2.1.2,[]
721,end,C4.2.1.1.1,[]
721,end,C4.2.1.1.2,[]
721,end,C4.2.1.1.3,[]
0,begin,[],C5
22,out,C5,[]
0,begin,[],C6
51,out,C6,[]
0,begin,[],C7
136,div,C7,"['C7.1', 'C7.2']"
721,end,C7.1,[]
274,div,C7.2,"['C7.2.1', 'C7.2.2']"
415,death,C7.2.1,[]
324,death,C7.2.2,[]
0,begin,[],C8
203,div,C8,"['C8.1', 'C8.2']"
316,div,C8.1,"['C8.1.1', 'C8.1.2']"
520,div,C8.1.2,"['C8.1.2.1', 'C8.1.2.2']"
721,end,C8.1.2.1,[]
602,div,C8.1.2.2,"['C8.1.2.2.1', 'C8.1.2.2.2']"
701,div,C8.1.2.2.1,"['C8.1.2.2.1.1', 'C8.1.2.2.1.2']"
721,end,C8.1.2.2.2,[]
721,end,C8.1.2.2.1.1,[]
721,end,C8.1.2.2.1.2,[]
459,div,C8.1.1,"['C8.1.1.1', 'C8.1.1.2']"
555,div,C8.1.1.1,"['C8.1.1.1.1', 'C8.1.1.1.2']"
721,end,C8.1.1.1.1,[]
721,end,C8.1.1.1.2,[]
559,div,C8.1.1.2,"['C8.1.1.2.1', 'C8.1.1.2.2']"
650,death,C8.1.1.2.1,[]
673,div,C8.1.1.2.2,"['C8.1.1.2.2.1', 'C8.1.1.2.2.2']"
721,end,C8.1.1.2.2.1,[]
721,end,C8.1.1.2.2.2,[]
315,div,C8.2,"['C8.2.1', 'C8.2.2']"
434,div,C8.2.1,"['C8.2.1.1', 'C8.2.1.2']"
603,div,C8.2.1.1,"['C8.2.1.1.1', 'C8.2.1.1.2', 'C8.2.1.1.3']"
721,end,C8.2.1.1.1,[]
721,end,C8.2.1.1.2,[]
721,end,C8.2.1.1.3,[]
551,div,C8.2.1.2,"['C8.2.1.2.1', 'C8.2.1.2.2']"
643,div,C8.2.1.2.1,"['C8.2.1.2.1.1', 'C8.2.1.2.1.2']"
721,end,C8.2.1.2.1.1,[]
721,end,C8.2.1.2.1.2,[]
