time,event,input,output
0,begin,[],C1
126,out,C1,[]
0,begin,[],C2
198,div,C2,"['C2.1', 'C2.2']"
573,div,C2.1,"['C2.1.1', 'C2.1.2', 'C2.1.3']"
675,fusion,"['C2.1.2', 'C2.1.3']",C2.3
721,end,C2.1.1,[]
698,div,C2.3,"['C2.3.1', 'C2.3.2', 'C2.3.3']"
721,end,C2.3.1,[]
721,end,C2.3.2,[]
721,end,C2.3.3,[]
465,div,C2.2,"['C2.2.1', 'C2.2.2']"
721,end,C2.2.1,[]
587,div,C2.2.2,"['C2.2.2.1', 'C2.2.2.2']"
721,end,C2.2.2.1,[]
721,end,C2.2.2.2,[]
0,begin,[],C3
215,div,C3,"['C3.1', 'C3.2']"
420,div,C3.1,"['C3.1.1', 'C3.1.2']"
457,div,C3.2,"['C3.2.1', 'C3.2.2']"
505,fusion,"['C3.1.2', 'C3.2.1']",C3.3
721,end,C3.3,[]
721,end,C3.1.1,[]
618,div,C3.2.2,"['C3.2.2.1', 'C3.2.2.2']"
721,end,C3.2.2.1,[]
721,end,C3.2.2.2,[]
0,begin,[],C4
288,div,C4,"['C4.1', 'C4.2', 'C4.3']"
493,death,C4.1,[]
432,fusion,"['C4.2', 'C4.3']",C4.4
633,death,C4.4,[]
0,begin,[],C5
185,div,C5,"['C5.1', 'C5.2']"
293,div,C5.1,"['C5.1.1', 'C5.1.2']"
721,end,C5.1.1,[]
431,div,C5.1.2,"['C5.1.2.1', 'C5.1.2.2']"
570,div,C5.1.2.1,"['C5.1.2.1.1', 'C5.1.2.1.2']"
721,end,C5.1.2.1.1,[]
721,end,C5.1.2.1.2,[]
588,div,C5.1.2.2,"['C5.1.2.2.1', 'C5.1.2.2.2']"
721,end,C5.1.2.2.1,[]
721,end,C5.1.2.2.2,[]
291,div,C5.2,"['C5.2.1', 'C5.2.2']"
405,div,C5.2.1,"['C5.2.1.1', 'C5.2.1.2']"
549,div,C5.2.1.1,"['C5.2.1.1.1', 'C5.2.1.1.2']"
552,out,C5.2.1.1.1,[]
660,div,C5.2.1.1.2,"['C5.2.1.1.2.1', 'C5.2.1.1.2.2']"
721,end,C5.2.1.1.2.1,[]
721,end,C5.2.1.1.2.2,[]
524,div,C5.2.1.2,"['C5.2.1.2.1', 'C5.2.1.2.2']"
