time,event,input,output
0,begin,[],C1
417,out,C1,[]
0,begin,[],C2
0,begin,[],C3
138,fusion,"['C2', 'C3']",C2.1
271,out,C2.1,[]
0,begin,[],C4
483,div,C4,"['C4.1', 'C4.2', 'C4.3', 'C4.4']"
721,end,C4.1,[]
675,death,C4.2,[]
522,fusion,"['C4.3', 'C4.4']",C4.5
675,death,C4.5,[]
0,begin,[],C5
487,div,C5,"['C5.1', 'C5.2', 'C5.3']"
496,fusion,"['C5.1', 'C5.2']",C5.4
503,fusion,"['C5.4', 'C5.3']",C5.5
560,death,C5.5,[]
0,begin,[],C6
416,div,C6,"['C6.1', 'C6.2', 'C6.3']"
602,out,C6.1,[]
721,end,C6.2,[]
721,end,C6.3,[]
0,begin,[],C7
190,div,C7,"['C7.1', 'C7.2']"
192,out,C7.2,[]
192,out,C7.1,[]
0,begin,[],C8
223,div,C8,"['C8.1', 'C8.2']"
410,div,C8.2,"['C8.2.1', 'C8.2.2']"
449,fusion,"['C8.2.1', 'C8.1']",C8.3
699,div,C8.2.2,"['C8.2.2.1', 'C8.2.2.2']"
721,end,C8.2.2.1,[]
721,end,C8.2.2.2,[]
664,div,C8.3,"['C8.3.1', 'C8.3.2', 'C8.3.3']"
679,fusion,"['C8.3.2', 'C8.3.3']",C8.4
692,fusion,"['C8.4', 'C8.3.1']",C8.5
717,death,C8.5,[]
0,begin,[],C9
163,out,C9,[]
