time,event,input,output
0,begin,[],C1
639,death,C1,[]
0,begin,[],C2
184,out,C2,[]
0,begin,[],C3
304,div,C3,"['C3.1', 'C3.2']"
660,death,C3.1,[]
641,death,C3.2,[]
0,begin,[],C4
409,death,C4,[]
0,begin,[],C5
163,death,C5,[]
0,begin,[],C6
88,out,C6,[]
0,begin,[],C7
189,div,C7,"['C7.1', 'C7.2']"
345,death,C7.2,[]
355,div,C7.1,"['C7.1.1', 'C7.1.2', 'C7.1.3', 'C7.1.4', 'C7.1.5']"
410,fusion,"['C7.1.1', 'C7.1.2']",C7.3
721,end,C7.3,[]
409,fusion,"['C7.1.4', 'C7.1.5']",C7.4
442,fusion,"['C7.1.3', 'C7.4']",C7.5
721,end,C7.5,[]
0,begin,[],C8
153,div,C8,"['C8.1', 'C8.2']"
566,div,C8.1,"['C8.1.1', 'C8.1.2']"
617,death,C8.1.1,[]
613,out,C8.1.2,[]
332,div,C8.2,"['C8.2.1', 'C8.2.2']"
665,death,C8.2.2,[]
554,div,C8.2.1,"['C8.2.1.1', 'C8.2.1.2']"
611,death,C8.2.1.1,[]
610,death,C8.2.1.2,[]
0,begin,[],C9
423,div,C9,"['C9.1', 'C9.2', 'C9.3']"
433,fusion,"['C9.1', 'C9.2']",C9.4
439,fusion,"['C9.4', 'C9.3']",C9.5
571,death,C9.5,[]
0,begin,[],C10
298,div,C10,"['C10.1', 'C10.2', 'C10.3']"
307,fusion,"['C10.1', 'C10.2']",C10.4
376,fusion,"['C10.4', 'C10.3']",C10.5
483,death,C10.5,[]
0,begin,[],C11
186,div,C11,"['C11.1', 'C11.2']"
576,div,C11.1,"['C11.1.1', 'C11.1.2', 'C11.1.3']"
592,death,C11.1.1,[]
590,fusion,"['C11.1.2', 'C11.1.3']",C11.4
593,death,C11.4,[]
396,div,C11.2,"['C11.2.1', 'C11.2.2']"
538,fusion,"['C11.2.1', 'C11.2.2']",C11.5
703,death,C11.5,[]
