time,event,input,output
0,begin,[],C1
292,div,C1,"['C1.1', 'C1.2']"
628,div,C1.1,"['C1.1.1', 'C1.1.2']"
721,end,C1.1.1,[]
721,end,C1.1.2,[]
607,div,C1.2,"['C1.2.1', 'C1.2.2']"
721,end,C1.2.1,[]
721,end,C1.2.2,[]
0,begin,[],C2
135,div,C2,"['C2.1', 'C2.2']"
461,div,C2.2,"['C2.2.1', 'C2.2.2']"
648,div,C2.2.1,"['C2.2.1.1', 'C2.2.1.2']"
721,end,C2.2.1.1,[]
721,end,C2.2.1.2,[]
633,div,C2.2.2,"['C2.2.2.1', 'C2.2.2.2']"
721,end,C2.2.2.1,[]
721,end,C2.2.2.2,[]
483,div,C2.1,"['C2.1.1', 'C2.1.2']"
719,div,C2.1.2,"['C2.1.2.1', 'C2.1.2.2']"
721,end,C2.1.2.1,[]
721,end,C2.1.2.2,[]
693,div,C2.1.1,"['C2.1.1.1', 'C2.1.1.2']"
721,end,C2.1.1.1,[]
721,end,C2.1.1.2,[]
0,begin,[],C3
119,div,C3,"['C3.1', 'C3.2']"
326,div,C3.1,"['C3.1.1', 'C3.1.2']"
483,div,C3.1.1,"['C3.1.1.1', 'C3.1.1.2']"
634,div,C3.1.1.1,"['C3.1.1.1.2', 'C3.1.1.1.1']"
721,end,C3.1.1.1.2,[]
721,end,C3.1.1.1.1,[]
666,div,C3.1.1.2,"['C3.1.1.2.1', 'C3.1.1.2.2']"
721,end,C3.1.1.2.1,[]
721,end,C3.1.1.2.2,[]
489,div,C3.1.2,"['C3.1.2.1', 'C3.1.2.2']"
639,div,C3.1.2.1,"['C3.1.2.1.1', 'C3.1.2.1.2']"
721,end,C3.1.2.1.1,[]
721,end,C3.1.2.1.2,[]
643,div,C3.1.2.2,"['C3.1.2.2.1', 'C3.1.2.2.2']"
721,end,C3.1.2.2.1,[]
721,end,C3.1.2.2.2,[]
317,div,C3.2,"['C3.2.1', 'C3.2.2']"
569,div,C3.2.1,"['C3.2.1.1', 'C3.2.1.2']"
571,fusion,"['C3.2.1.1', 'C3.2.1.2']",C3.3
707,death,C3.3,[]
508,div,C3.2.2,"['C3.2.2.1', 'C3.2.2.2']"
721,end,C3.2.2.1,[]
721,end,C3.2.2.2,[]
0,begin,[],C4
169,div,C4,"['C4.1', 'C4.2']"
211,death,C4.1,[]
410,div,C4.2,"['C4.2.1', 'C4.2.2']"
721,end,C4.2.1,[]
464,death,C4.2.2,[]
0,begin,[],C5
196,div,C5,"['C5.1', 'C5.2']"
511,div,C5.1,"['C5.1.1', 'C5.1.2']"
668,div,C5.1.1,"['C5.1.1.1', 'C5.1.1.2']"
721,end,C5.1.1.1,[]
721,end,C5.1.1.2,[]
708,div,C5.1.2,"['C5.1.2.1', 'C5.1.2.2']"
