time,event,input,output
0,begin,[],C1
90,div,C1,"['C1.1', 'C1.2']"
303,div,C1.1,"['C1.1.1', 'C1.1.2']"
324,death,C1.1.1,[]
326,death,C1.1.2,[]
335,div,C1.2,"['C1.2.1', 'C1.2.2']"
555,div,C1.2.1,"['C1.2.1.1', 'C1.2.1.2']"
721,end,C1.2.1.1,[]
721,end,C1.2.1.2,[]
518,div,C1.2.2,"['C1.2.2.1', 'C1.2.2.2']"
721,end,C1.2.2.1,[]
721,end,C1.2.2.2,[]
0,begin,[],C2
473,death,C2,[]
0,begin,[],C3
117,div,C3,"['C3.1', 'C3.2']"
191,death,C3.2,[]
268,div,C3.1,"['C3.1.1', 'C3.1.2']"
424,div,C3.1.1,"['C3.1.1.1', 'C3.1.1.2']"
721,end,C3.1.1.1,[]
507,death,C3.1.1.2,[]
420,div,C3.1.2,"['C3.1.2.1', 'C3.1.2.2']"
721,end,C3.1.2.1,[]
721,end,C3.1.2.2,[]
0,begin,[],C4
132,div,C4,"['C4.1', 'C4.2']"
526,death,C4.2,[]
420,div,C4.1,"['C4.1.1', 'C4.1.2']"
437,fusion,"['C4.1.1', 'C4.1.2']",C4.3
598,death,C4.3,[]
0,begin,[],C5
205,div,C5,"['C5.1', 'C5.2']"
721,end,C5.2,[]
423,div,C5.1,"['C5.1.1', 'C5.1.2']"
684,death,C5.1.2,[]
721,end,C5.1.1,[]
0,begin,[],C6
626,death,C6,[]
0,begin,[],C7
390,death,C7,[]
0,begin,[],C8
51,div,C8,"['C8.1', 'C8.2']"
187,out,C8.1,[]
260,div,C8.2,"['C8.2.1', 'C8.2.2']"
261,out,C8.2.2,[]
451,div,C8.2.1,"['C8.2.1.1', 'C8.2.1.2']"
480,out,C8.2.1.1,[]
520,out,C8.2.1.2,[]
0,begin,[],C9
54,div,C9,"['C9.1', 'C9.2']"
286,div,C9.1,"['C9.1.1', 'C9.1.2']"
308,out,C9.1.1,[]
313,out,C9.1.2,[]
271,div,C9.2,"['C9.2.1', 'C9.2.2']"
470,out,C9.2.1,[]
474,div,C9.2.2,"['C9.2.2.1', 'C9.2.2.2']"
717,div,C9.2.2.1,"['C9.2.2.1.1', 'C9.2.2.1.2']"
721,end,C9.2.2.1.1,[]
721,end,C9.2.2.1.2,[]
678,div,C9.2.2.2,"['C9.2.2.2.1', 'C9.2.2.2.2']"
721,end,C9.2.2.2.1,[]
721,end,C9.2.2.2.2,[]
