time,event,input,output
0,begin,[],C1
165,death,C1,[]
0,begin,[],C2
133,div,C2,"['C2.1', 'C2.2']"
318,div,C2.1,"['C2.1.1', 'C2.1.2']"
457,div,C2.1.1,"['C2.1.1.1', 'C2.1.1.2']"
580,div,C2.1.1.1,"['C2.1.1.1.1', 'C2.1.1.1.2']"
721,end,C2.1.1.1.1,[]
721,end,C2.1.1.1.2,[]
586,div,C2.1.1.2,"['C2.1.1.2.1', 'C2.1.1.2.2']"
721,end,C2.1.1.2.1,[]
721,end,C2.1.1.2.2,[]
457,div,C2.1.2,"['C2.1.2.1', 'C2.1.2.2']"
600,div,C2.1.2.1,"['C2.1.2.1.1', 'C2.1.2.1.2']"
721,end,C2.1.2.1.1,[]
721,end,C2.1.2.1.2,[]
603,div,C2.1.2.2,"['C2.1.2.2.1', 'C2.1.2.2.2']"
721,end,C2.1.2.2.1,[]
721,end,C2.1.2.2.2,[]
313,div,C2.2,"['C2.2.1', 'C2.2.2']"
465,div,C2.2.1,"['C2.2.1.1', 'C2.2.1.2']"
612,div,C2.2.1.1,"['C2.2.1.1.1', 'C2.2.1.1.2']"
721,end,C2.2.1.1.1,[]
721,end,C2.2.1.1.2,[]
611,div,C2.2.1.2,"['C2.2.1.2.1', 'C2.2.1.2.2']"
721,end,C2.2.1.2.1,[]
721,end,C2.2.1.2.2,[]
450,div,C2.2.2,"['C2.2.2.1', 'C2.2.2.2']"
595,div,C2.2.2.1,"['C2.2.2.1.1', 'C2.2.2.1.2']"
591,div,C2.2.2.2,"['C2.2.2.2.1', 'C2.2.2.2.2']"
721,end,C2.2.2.1.1,[]
721,end,C2.2.2.1.2,[]
721,end,C2.2.2.2.1,[]
721,end,C2.2.2.2.2,[]
0,begin,[],C3
135,div,C3,"['C3.1', 'C3.2']"
312,div,C3.1,"['C3.1.1', 'C3.1.2']"
451,div,C3.1.1,"['C3.1.1.1', 'C3.1.1.2']"
569,div,C3.1.1.1,"['C3.1.1.1.1', 'C3.1.1.1.2']"
721,end,C3.1.1.1.1,[]
720,div,C3.1.1.1.2,"['C3.1.1.1.2.1', 'C3.1.1.1.2.2']"
721,end,C3.1.1.1.2.1,[]
721,end,C3.1.1.1.2.2,[]
573,div,C3.1.1.2,"['C3.1.1.2.1', 'C3.1.1.2.2']"
711,div,C3.1.1.2.1,"['C3.1.1.2.1.1', 'C3.1.1.2.1.2']"
721,end,C3.1.1.2.1.1,[]
721,end,C3.1.1.2.1.2,[]
701,div,C3.1.1.2.2,"['C3.1.1.2.2.1', 'C3.1.1.2.2.2']"
721,end,C3.1.1.2.2.1,[]
721,end,C3.1.1.2.2.2,[]
450,div,C3.1.2,"['C3.1.2.1', 'C3.1.2.2']"
513,div,C3.1.2.1,"['C3.1.2.1.1', 'C3.1.2.1.2']"
589,div,C3.1.2.2,"['C3.1.2.2.1', 'C3.1.2.2.2']"
721,end,C3.1.2.2.1,[]
721,end,C3.1.2.2.2,[]
721,end,C3.1.2.1.2,[]
721,end,C3.1.2.1.1,[]
305,div,C3.2,"['C3.2.1', 'C3.2.2']"
455,div,C3.2.1,"['C3.2.1.1', 'C3.2.1.2']"
603,div,C3.2.1.1,"['C3.2.1.1.1', 'C3.2.1.1.2']"
721,end,C3.2.1.1.1,[]
721,end,C3.2.1.1.2,[]
601,div,C3.2.1.2,"['C3.2.1.2.1', 'C3.2.1.2.2']"
721,end,C3.2.1.2.1,[]
721,end,C3.2.1.2.2,[]
448,div,C3.2.2,"['C3.2.2.1', 'C3.2.2.2']"
580,div,C3.2.2.1,"['C3.2.2.1.1', 'C3.2.2.1.2']"
714,div,C3.2.2.1.1,"['C3.2.2.1.1.1', 'C3.2.2.1.1.2']"
721,end,C3.2.2.1.1.1,[]
721,end,C3.2.2.1.1.2,[]
711,div,C3.2.2.1.2,"['C3.2.2.1.2.1', 'C3.2.2.1.2.2']"
721,end,C3.2.2.1.2.1,[]
721,end,C3.2.2.1.2.2,[]
