time,event,input,output
0,begin,[],C1
141,div,C1,"['C1.1', 'C1.2']"
282,div,C1.1,"['C1.1.1', 'C1.1.2']"
447,div,C1.1.1,"['C1.1.1.1', 'C1.1.1.2']"
607,out,C1.1.1.1,[]
570,out,C1.1.1.2,[]
306,out,C1.1.2,[]
281,div,C1.2,"['C1.2.1', 'C1.2.2']"
282,out,C1.2.1,[]
289,out,C1.2.2,[]
0,begin,[],C2
248,div,C2,"['C2.1', 'C2.2']"
413,div,C2.1,"['C2.1.1', 'C2.1.2', 'C2.1.3']"
417,fusion,"['C2.1.1', 'C2.1.2']",C2.3
561,fusion,"['C2.3', 'C2.1.3']",C2.4
609,div,C2.4,"['C2.4.1', 'C2.4.2', 'C2.4.3', 'C2.4.4', 'C2.4.5']"
721,end,C2.4.1,[]
721,end,C2.4.2,[]
721,end,C2.4.3,[]
721,end,C2.4.4,[]
721,end,C2.4.5,[]
417,div,C2.2,"['C2.2.1', 'C2.2.2']"
440,fusion,"['C2.2.1', 'C2.2.2']",C2.5
582,div,C2.5,"['C2.5.1', 'C2.5.2', 'C2.5.3']"
595,fusion,"['C2.5.1', 'C2.5.2']",C2.6
721,end,C2.6,[]
721,end,C2.5.3,[]
0,begin,[],C3
5,div,C3,"['C3.1', 'C3.2']"
345,div,C3.1,"['C3.1.1', 'C3.1.2']"
530,div,C3.1.1,"['C3.1.1.1', 'C3.1.1.2']"
721,end,C3.1.2,[]
696,div,C3.1.1.1,"['C3.1.1.1.1', 'C3.1.1.1.2']"
721,end,C3.1.1.1.1,[]
721,end,C3.1.1.1.2,[]
641,div,C3.1.1.2,"['C3.1.1.2.1', 'C3.1.1.2.2']"
721,end,C3.1.1.2.1,[]
721,end,C3.1.1.2.2,[]
367,div,C3.2,"['C3.2.1', 'C3.2.2']"
538,div,C3.2.1,"['C3.2.1.1', 'C3.2.1.2']"
559,fusion,"['C3.2.1.1', 'C3.2.1.2']",C3.3
644,death,C3.3,[]
519,div,C3.2.2,"['C3.2.2.1', 'C3.2.2.2']"
549,fusion,"['C3.2.2.1', 'C3.2.2.2']",C3.4
721,end,C3.4,[]
0,begin,[],C4
37,div,C4,"['C4.1', 'C4.2']"
257,div,C4.1,"['C4.1.1', 'C4.1.2']"
409,div,C4.1.1,"['C4.1.1.1', 'C4.1.1.2']"
527,div,C4.1.1.1,"['C4.1.1.1.1', 'C4.1.1.1.2']"
721,end,C4.1.1.1.1,[]
710,div,C4.1.1.1.2,"['C4.1.1.1.2.1', 'C4.1.1.1.2.2']"
721,end,C4.1.1.1.2.1,[]
721,end,C4.1.1.1.2.2,[]
529,div,C4.1.1.2,"['C4.1.1.2.1', 'C4.1.1.2.2']"
671,div,C4.1.1.2.1,"['C4.1.1.2.1.1', 'C4.1.1.2.1.2']"
721,end,C4.1.1.2.1.1,[]
721,end,C4.1.1.2.1.2,[]
703,div,C4.1.1.2.2,"['C4.1.1.2.2.1', 'C4.1.1.2.2.2']"
721,end,C4.1.1.2.2.1,[]
721,end,C4.1.1.2.2.2,[]
409,div,C4.1.2,"['C4.1.2.1', 'C4.1.2.2']"
462,death,C4.1.2.1,[]
539,div,C4.1.2.2,"['C4.1.2.2.1', 'C4.1.2.2.2']"
661,div,C4.1.2.2.1,"['C4.1.2.2.1.1', 'C4.1.2.2.1.2']"
721,end,C4.1.2.2.1.1,[]
721,end,C4.1.2.2.1.2,[]
656,div,C4.1.2.2.2,"['C4.1.2.2.2.1', 'C4.1.2.2.2.2']"
721,end,C4.1.2.2.2.1,[]
721,end,C4.1.2.2.2.2,[]
240,div,C4.2,"['C4.2.1', 'C4.2.2']"
392,div,C4.2.1,"['C4.2.1.1', 'C4.2.1.2']"
523,div,C4.2.1.1,"['C4.2.1.1.1', 'C4.2.1.1.2']"
644,div,C4.2.1.1.1,"['C4.2.1.1.1.1', 'C4.2.1.1.1.2']"
721,end,C4.2.1.1.1.1,[]
721,end,C4.2.1.1.1.2,[]
604,div,C4.2.1.1.2,"['C4.2.1.1.2.1', 'C4.2.1.1.2.2']"
721,end,C4.2.1.1.2.1,[]
721,end,C4.2.1.1.2.2,[]
517,div,C4.2.1.2,"['C4.2.1.2.1', 'C4.2.1.2.2']"
644,div,C4.2.1.2.1,"['C4.2.1.2.1.1', 'C4.2.1.2.1.2']"
721,end,C4.2.1.2.1.1,[]
721,end,C4.2.1.2.1.2,[]
644,div,C4.2.1.2.2,"['C4.2.1.2.2.1', 'C4.2.1.2.2.2']"
721,end,C4.2.1.2.2.1,[]
721,end,C4.2.1.2.2.2,[]
381,div,C4.2.2,"['C4.2.2.1', 'C4.2.2.2']"
510,div,C4.2.2.1,"['C4.2.2.1.1', 'C4.2.2.1.2']"
624,div,C4.2.2.1.1,"['C4.2.2.1.1.1', 'C4.2.2.1.1.2']"
721,end,C4.2.2.1.1.1,[]
721,end,C4.2.2.1.1.2,[]
640,div,C4.2.2.1.2,"['C4.2.2.1.2.1', 'C4.2.2.1.2.2', 'C4.2.2.1.2.3']"
721,end,C4.2.2.1.2.1,[]
721,end,C4.2.2.1.2.2,[]
721,end,C4.2.2.1.2.3,[]
505,div,C4.2.2.2,"['C4.2.2.2.1', 'C4.2.2.2.2']"
630,div,C4.2.2.2.1,"['C4.2.2.2.1.1', 'C4.2.2.2.1.2']"
721,end,C4.2.2.2.1.1,[]
721,end,C4.2.2.2.1.2,[]
628,div,C4.2.2.2.2,"['C4.2.2.2.2.1', 'C4.2.2.2.2.2']"
721,end,C4.2.2.2.2.1,[]
721,end,C4.2.2.2.2.2,[]
0,begin,[],C5
68,div,C5,"['C5.1', 'C5.2']"
243,div,C5.1,"['C5.1.1', 'C5.1.2']"
392,div,C5.1.1,"['C5.1.1.1', 'C5.1.1.2']"
565,div,C5.1.1.1,"['C5.1.1.1.1', 'C5.1.1.1.2']"
713,div,C5.1.1.1.1,"['C5.1.1.1.1.1', 'C5.1.1.1.1.2']"
721,end,C5.1.1.1.1.1,[]
721,end,C5.1.1.1.1.2,[]
721,end,C5.1.1.1.2,[]
571,div,C5.1.1.2,"['C5.1.1.2.1', 'C5.1.1.2.2']"
721,end,C5.1.1.2.1,[]
721,end,C5.1.1.2.2,[]
392,div,C5.1.2,"['C5.1.2.1', 'C5.1.2.2']"
530,div,C5.1.2.1,"['C5.1.2.1.1', 'C5.1.2.1.2']"
705,div,C5.1.2.1.1,"['C5.1.2.1.1.1', 'C5.1.2.1.1.2']"
721,end,C5.1.2.1.1.1,[]
721,end,C5.1.2.1.1.2,[]
710,div,C5.1.2.1.2,"['C5.1.2.1.2.1', 'C5.1.2.1.2.2', 'C5.1.2.1.2.3', 'C5.1.2.1.2.4', 'C5.1.2.1.2.5']"
721,end,C5.1.2.1.2.1,[]
720,fusion,"['C5.1.2.1.2.2', 'C5.1.2.1.2.3']",C5.3
721,end,C5.3,[]
713,fusion,"['C5.1.2.1.2.4', 'C5.1.2.1.2.5']",C5.4
721,end,C5.4,[]
515,div,C5.1.2.2,"['C5.1.2.2.1', 'C5.1.2.2.2']"
696,div,C5.1.2.2.1,"['C5.1.2.2.1.1', 'C5.1.2.2.1.2']"
721,end,C5.1.2.2.1.1,[]
721,end,C5.1.2.2.1.2,[]
693,div,C5.1.2.2.2,"['C5.1.2.2.2.1', 'C5.1.2.2.2.2']"
721,end,C5.1.2.2.2.1,[]
721,end,C5.1.2.2.2.2,[]
244,div,C5.2,"['C5.2.1', 'C5.2.2']"
386,div,C5.2.1,"['C5.2.1.1', 'C5.2.1.2']"
465,div,C5.2.1.1,"['C5.2.1.1.1', 'C5.2.1.1.2']"
721,end,C5.2.1.1.1,[]
721,end,C5.2.1.1.2,[]
465,div,C5.2.1.2,"['C5.2.1.2.1', 'C5.2.1.2.2']"
658,div,C5.2.1.2.1,"['C5.2.1.2.1.1', 'C5.2.1.2.1.2']"
721,end,C5.2.1.2.1.1,[]
721,end,C5.2.1.2.1.2,[]
675,div,C5.2.1.2.2,"['C5.2.1.2.2.1', 'C5.2.1.2.2.2']"
721,end,C5.2.1.2.2.1,[]
721,end,C5.2.1.2.2.2,[]
383,div,C5.2.2,"['C5.2.2.1', 'C5.2.2.2']"
450,div,C5.2.2.1,"['C5.2.2.1.1', 'C5.2.2.1.2']"
630,div,C5.2.2.1.1,"['C5.2.2.1.1.1', 'C5.2.2.1.1.2']"
721,end,C5.2.2.1.1.1,[]
721,end,C5.2.2.1.1.2,[]
644,div,C5.2.2.1.2,"['C5.2.2.1.2.1', 'C5.2.2.1.2.2']"
721,end,C5.2.2.1.2.1,[]
721,end,C5.2.2.1.2.2,[]
447,div,C5.2.2.2,"['C5.2.2.2.1', 'C5.2.2.2.2']"
721,end,C5.2.2.2.1,[]
583,div,C5.2.2.2.2,"['C5.2.2.2.2.1', 'C5.2.2.2.2.2']"
721,end,C5.2.2.2.2.1,[]
721,end,C5.2.2.2.2.2,[]
0,begin,[],C6
68,div,C6,"['C6.1', 'C6.2']"
386,div,C6.1,"['C6.1.1', 'C6.1.2']"
555,div,C6.1.1,"['C6.1.1.1', 'C6.1.1.2']"
721,end,C6.1.1.1,[]
721,end,C6.1.1.2,[]
562,div,C6.1.2,"['C6.1.2.1', 'C6.1.2.2']"
721,end,C6.1.2.1,[]
721,end,C6.1.2.2,[]
251,div,C6.2,"['C6.2.1', 'C6.2.2']"
721,end,C6.2.1,[]
402,div,C6.2.2,"['C6.2.2.1', 'C6.2.2.2']"
721,end,C6.2.2.1,[]
571,div,C6.2.2.2,"['C6.2.2.2.1', 'C6.2.2.2.2']"
721,end,C6.2.2.2.1,[]
721,end,C6.2.2.2.2,[]
0,begin,[],C7
50,div,C7,"['C7.1', 'C7.2']"
215,div,C7.1,"['C7.1.1', 'C7.1.2']"
341,div,C7.1.1,"['C7.1.1.1', 'C7.1.1.2']"
721,end,C7.1.1.1,[]
449,div,C7.1.1.2,"['C7.1.1.2.1', 'C7.1.1.2.2']"
721,end,C7.1.1.2.1,[]
721,end,C7.1.1.2.2,[]
384,div,C7.1.2,"['C7.1.2.1', 'C7.1.2.2']"
493,div,C7.1.2.1,"['C7.1.2.1.1', 'C7.1.2.1.2']"
721,end,C7.1.2.1.1,[]
721,end,C7.1.2.1.2,[]
482,div,C7.1.2.2,"['C7.1.2.2.1', 'C7.1.2.2.2']"
705,div,C7.1.2.2.1,"['C7.1.2.2.1.1', 'C7.1.2.2.1.2']"
721,end,C7.1.2.2.1.1,[]
721,end,C7.1.2.2.1.2,[]
708,div,C7.1.2.2.2,"['C7.1.2.2.2.1', 'C7.1.2.2.2.2', 'C7.1.2.2.2.3']"
721,end,C7.1.2.2.2.1,[]
721,end,C7.1.2.2.2.2,[]
721,end,C7.1.2.2.2.3,[]
208,div,C7.2,"['C7.2.1', 'C7.2.2']"
341,div,C7.2.1,"['C7.2.1.1', 'C7.2.1.2']"
465,div,C7.2.1.1,"['C7.2.1.1.1', 'C7.2.1.1.2']"
721,end,C7.2.1.1.1,[]
657,div,C7.2.1.1.2,"['C7.2.1.1.2.1', 'C7.2.1.1.2.2']"
721,end,C7.2.1.1.2.1,[]
721,end,C7.2.1.1.2.2,[]
447,div,C7.2.1.2,"['C7.2.1.2.1', 'C7.2.1.2.2']"
721,end,C7.2.1.2.1,[]
721,end,C7.2.1.2.2,[]
333,div,C7.2.2,"['C7.2.2.1', 'C7.2.2.2']"
458,div,C7.2.2.1,"['C7.2.2.1.1', 'C7.2.2.1.2']"
705,div,C7.2.2.1.1,"['C7.2.2.1.1.1', 'C7.2.2.1.1.2']"
721,end,C7.2.2.1.1.1,[]
721,end,C7.2.2.1.1.2,[]
709,div,C7.2.2.1.2,"['C7.2.2.1.2.1', 'C7.2.2.1.2.2']"
721,end,C7.2.2.1.2.1,[]
721,end,C7.2.2.1.2.2,[]
457,div,C7.2.2.2,"['C7.2.2.2.1', 'C7.2.2.2.2']"
