time,event,input,output
0,begin,[],C1
205,div,C1,"['C1.1', 'C1.2']"
482,death,C1.1,[]
319,death,C1.2,[]
0,begin,[],C2
172,div,C2,"['C2.1', 'C2.2']"
426,death,C2.2,[]
546,div,C2.1,"['C2.1.2', 'C2.1.1']"
549,death,C2.1.2,[]
549,death,C2.1.1,[]
0,begin,[],C3
128,div,C3,"['C3.1', 'C3.2']"
458,div,C3.1,"['C3.1.1', 'C3.1.2', 'C3.1.3']"
480,fusion,"['C3.1.1', 'C3.1.2', 'C3.1.3']",C3.3
484,death,C3.3,[]
346,div,C3.2,"['C3.2.1', 'C3.2.2']"
469,death,C3.2.1,[]
638,div,C3.2.2,"['C3.2.2.1', 'C3.2.2.2']"
645,death,C3.2.2.1,[]
645,death,C3.2.2.2,[]
0,begin,[],C4
163,div,C4,"['C4.1', 'C4.2']"
478,div,C4.1,"['C4.1.1', 'C4.1.2', 'C4.1.3', 'C4.1.4']"
490,fusion,"['C4.1.1', 'C4.1.2']",C4.3
498,fusion,"['C4.3', 'C4.1.3', 'C4.1.4']",C4.4
673,death,C4.4,[]
432,div,C4.2,"['C4.2.1', 'C4.2.2']"
447,fusion,"['C4.2.1', 'C4.2.2']",C4.5
721,end,C4.5,[]
0,begin,[],C5
112,div,C5,"['C5.1', 'C5.2']"
303,death,C5.1,[]
286,div,C5.2,"['C5.2.1', 'C5.2.2']"
316,death,C5.2.1,[]
316,death,C5.2.2,[]
