time,event,input,output
0,begin,[],C1
154,div,C1,"['C1.1', 'C1.2']"
378,div,C1.1,"['C1.1.1', 'C1.1.2']"
721,end,C1.1.1,[]
721,end,C1.1.2,[]
341,div,C1.2,"['C1.2.1', 'C1.2.2']"
721,end,C1.2.1,[]
721,end,C1.2.2,[]
0,begin,[],C2
195,div,C2,"['C2.1', 'C2.2']"
294,death,C2.2,[]
721,end,C2.1,[]
0,begin,[],C3
203,div,C3,"['C3.1', 'C3.2']"
721,end,C3.1,[]
721,end,C3.2,[]
0,begin,[],C4
137,div,C4,"['C4.1', 'C4.2']"
393,div,C4.1,"['C4.1.1', 'C4.1.2']"
721,end,C4.1.1,[]
721,end,C4.1.2,[]
342,div,C4.2,"['C4.2.1', 'C4.2.2']"
721,end,C4.2.1,[]
721,end,C4.2.2,[]
0,begin,[],C5
148,div,C5,"['C5.1', 'C5.2']"
324,div,C5.1,"['C5.1.1', 'C5.1.2']"
721,end,C5.1.1,[]
721,end,C5.1.2,[]
320,div,C5.2,"['C5.2.1', 'C5.2.2']"
412,death,C5.2.2,[]
721,end,C5.2.1,[]
0,begin,[],C6
200,div,C6,"['C6.1', 'C6.2']"
371,div,C6.1,"['C6.1.1', 'C6.1.2']"
721,end,C6.1.1,[]
721,end,C6.1.2,[]
350,div,C6.2,"['C6.2.1', 'C6.2.2']"
721,end,C6.2.1,[]
721,end,C6.2.2,[]
0,begin,[],C7
177,div,C7,"['C7.1', 'C7.2']"
345,div,C7.1,"['C7.1.1', 'C7.1.2']"
322,div,C7.2,"['C7.2.1', 'C7.2.2']"
721,end,C7.1.1,[]
721,end,C7.1.2,[]
721,end,C7.2.1,[]
721,end,C7.2.2,[]
0,begin,[],C8
175,div,C8,"['C8.1', 'C8.2']"
326,div,C8.1,"['C8.1.1', 'C8.1.2']"
721,end,C8.1.1,[]
721,end,C8.1.2,[]
304,div,C8.2,"['C8.2.1', 'C8.2.2']"
721,end,C8.2.1,[]
721,end,C8.2.2,[]
0,begin,[],C9
49,div,C9,"['C9.1', 'C9.2']"
329,div,C9.1,"['C9.1.1', 'C9.1.2']"
721,end,C9.1.1,[]
721,end,C9.1.2,[]
721,end,C9.2,[]
0,begin,[],C10
234,div,C10,"['C10.1', 'C10.2']"
721,end,C10.1,[]
721,end,C10.2,[]
0,begin,[],C11
10,div,C11,"['C11.1', 'C11.2']"
255,div,C11.1,"['C11.1.1', 'C11.1.2']"
721,end,C11.1.1,[]
385,div,C11.1.2,"['C11.1.2.1', 'C11.1.2.2']"
721,end,C11.1.2.1,[]
721,end,C11.1.2.2,[]
184,div,C11.2,"['C11.2.1', 'C11.2.2']"
383,div,C11.2.1,"['C11.2.1.1', 'C11.2.1.2']"
721,end,C11.2.1.1,[]
721,end,C11.2.1.2,[]
395,div,C11.2.2,"['C11.2.2.1', 'C11.2.2.2', 'C11.2.2.3']"
721,end,C11.2.2.1,[]
721,end,C11.2.2.2,[]
721,end,C11.2.2.3,[]
0,begin,[],C12
170,div,C12,"['C12.1', 'C12.2']"
203,out,C12.1,[]
349,div,C12.2,"['C12.2.1', 'C12.2.2']"
721,end,C12.2.1,[]
402,out,C12.2.2,[]
0,begin,[],C13
178,div,C13,"['C13.1', 'C13.2']"
375,div,C13.1,"['C13.1.1', 'C13.1.2']"
376,out,C13.1.1,[]
376,out,C13.1.2,[]
405,div,C13.2,"['C13.2.1', 'C13.2.2']"
721,end,C13.2.1,[]
413,death,C13.2.2,[]
0,begin,[],C14
140,div,C14,"['C14.1', 'C14.2']"
177,out,C14.1,[]
349,div,C14.2,"['C14.2.1', 'C14.2.2']"
721,end,C14.2.2,[]
721,end,C14.2.1,[]
0,begin,[],C15
38,out,C15,[]
0,begin,[],C16
158,div,C16,"['C16.1', 'C16.2']"
196,out,C16.2,[]
385,div,C16.1,"['C16.1.1', 'C16.1.2']"
721,end,C16.1.1,[]
721,end,C16.1.2,[]
0,begin,[],C17
26,div,C17,"['C17.1', 'C17.2']"
207,div,C17.1,"['C17.1.1', 'C17.1.2']"
215,out,C17.1.1,[]
251,out,C17.1.2,[]
200,div,C17.2,"['C17.2.1', 'C17.2.2']"
382,div,C17.2.1,"['C17.2.1.1', 'C17.2.1.2']"
721,end,C17.2.1.1,[]
721,end,C17.2.1.2,[]
337,div,C17.2.2,"['C17.2.2.1', 'C17.2.2.2']"
721,end,C17.2.2.1,[]
411,out,C17.2.2.2,[]
0,begin,[],C18
27,div,C18,"['C18.1', 'C18.2']"
335,div,C18.1,"['C18.1.1', 'C18.1.2', 'C18.1.3']"
373,fusion,"['C18.1.1', 'C18.1.2']",C18.4
721,end,C18.4,[]
721,end,C18.1.3,[]
183,div,C18.2,"['C18.2.1', 'C18.2.2']"
362,div,C18.2.1,"['C18.2.1.1', 'C18.2.1.2']"
721,end,C18.2.1.1,[]
721,end,C18.2.1.2,[]
321,div,C18.2.2,"['C18.2.2.1', 'C18.2.2.2']"
721,end,C18.2.2.1,[]
721,end,C18.2.2.2,[]
0,begin,[],C19
113,div,C19,"['C19.1', 'C19.2']"
179,out,C19.1,[]
721,end,C19.2,[]
0,begin,[],C20
117,out,C20,[]
