time,event,input,output
0,begin,[],C1
101,div,C1,"['C1.1', 'C1.2']"
569,death,C1.1,[]
572,death,C1.2,[]
0,begin,[],C2
69,div,C2,"['C2.1', 'C2.2']"
721,end,C2.1,[]
396,div,C2.2,"['C2.2.1', 'C2.2.2', 'C2.2.3']"
550,fusion,"['C2.2.1', 'C2.2.2', 'C2.2.3']",C2.3
721,end,C2.3,[]
0,begin,[],C3
124,div,C3,"['C3.1', 'C3.2']"
315,div,C3.1,"['C3.1.1', 'C3.1.2']"
316,out,C3.1.1,[]
488,div,C3.1.2,"['C3.1.2.1', 'C3.1.2.2']"
721,end,C3.1.2.1,[]
661,div,C3.1.2.2,"['C3.1.2.2.1', 'C3.1.2.2.2']"
721,end,C3.1.2.2.1,[]
721,end,C3.1.2.2.2,[]
309,div,C3.2,"['C3.2.1', 'C3.2.2']"
474,div,C3.2.1,"['C3.2.1.1', 'C3.2.1.2']"
629,div,C3.2.1.1,"['C3.2.1.1.1', 'C3.2.1.1.2']"
721,end,C3.2.1.1.1,[]
721,end,C3.2.1.1.2,[]
628,div,C3.2.1.2,"['C3.2.1.2.1', 'C3.2.1.2.2']"
721,end,C3.2.1.2.1,[]
629,out,C3.2.1.2.2,[]
469,div,C3.2.2,"['C3.2.2.1', 'C3.2.2.2']"
627,div,C3.2.2.1,"['C3.2.2.1.1', 'C3.2.2.1.2']"
721,end,C3.2.2.1.1,[]
721,end,C3.2.2.1.2,[]
614,div,C3.2.2.2,"['C3.2.2.2.1', 'C3.2.2.2.2']"
721,end,C3.2.2.2.1,[]
721,end,C3.2.2.2.2,[]
0,begin,[],C4
586,death,C4,[]
0,begin,[],C5
135,div,C5,"['C5.1', 'C5.2']"
229,death,C5.1,[]
389,div,C5.2,"['C5.2.1', 'C5.2.2']"
572,death,C5.2.1,[]
586,div,C5.2.2,"['C5.2.2.1', 'C5.2.2.2']"
721,end,C5.2.2.1,[]
715,div,C5.2.2.2,"['C5.2.2.2.1', 'C5.2.2.2.2']"
721,end,C5.2.2.2.1,[]
721,end,C5.2.2.2.2,[]
0,begin,[],C6
143,div,C6,"['C6.1', 'C6.2']"
621,death,C6.1,[]
587,death,C6.2,[]
0,begin,[],C7
117,div,C7,"['C7.1', 'C7.2']"
260,out,C7.1,[]
253,out,C7.2,[]
0,begin,[],C8
133,div,C8,"['C8.1', 'C8.2']"
327,div,C8.1,"['C8.1.1', 'C8.1.2']"
461,div,C8.1.1,"['C8.1.1.1', 'C8.1.1.2']"
