time,event,input,output
0,begin,[],C1
137,div,C1,"['C1.1', 'C1.2']"
372,div,C1.1,"['C1.1.1', 'C1.1.2']"
573,div,C1.1.1,"['C1.1.1.1', 'C1.1.1.2']"
721,end,C1.1.1.1,[]
721,end,C1.1.1.2,[]
601,div,C1.1.2,"['C1.1.2.1', 'C1.1.2.2']"
721,end,C1.1.2.1,[]
721,end,C1.1.2.2,[]
338,div,C1.2,"['C1.2.1', 'C1.2.2']"
528,out,C1.2.1,[]
527,div,C1.2.2,"['C1.2.2.1', 'C1.2.2.2']"
721,end,C1.2.2.1,[]
721,end,C1.2.2.2,[]
0,begin,[],C2
106,div,C2,"['C2.1', 'C2.2']"
305,div,C2.1,"['C2.1.1', 'C2.1.2']"
480,div,C2.1.1,"['C2.1.1.1', 'C2.1.1.2']"
721,end,C2.1.1.1,[]
721,end,C2.1.1.2,[]
556,div,C2.1.2,"['C2.1.2.1', 'C2.1.2.2']"
721,end,C2.1.2.1,[]
721,end,C2.1.2.2,[]
289,div,C2.2,"['C2.2.1', 'C2.2.2']"
400,death,C2.2.1,[]
456,div,C2.2.2,"['C2.2.2.1', 'C2.2.2.2']"
721,end,C2.2.2.1,[]
721,end,C2.2.2.2,[]
0,begin,[],C3
113,div,C3,"['C3.1', 'C3.2']"
311,div,C3.1,"['C3.1.1', 'C3.1.2']"
447,death,C3.1.1,[]
497,div,C3.1.2,"['C3.1.2.1', 'C3.1.2.2']"
680,div,C3.1.2.1,"['C3.1.2.1.1', 'C3.1.2.1.2']"
721,end,C3.1.2.1.1,[]
721,end,C3.1.2.1.2,[]
643,div,C3.1.2.2,"['C3.1.2.2.1', 'C3.1.2.2.2']"
721,end,C3.1.2.2.1,[]
721,end,C3.1.2.2.2,[]
279,div,C3.2,"['C3.2.1', 'C3.2.2']"
466,div,C3.2.1,"['C3.2.1.1', 'C3.2.1.2']"
721,end,C3.2.1.1,[]
721,end,C3.2.1.2,[]
492,div,C3.2.2,"['C3.2.2.1', 'C3.2.2.2']"
721,end,C3.2.2.1,[]
720,div,C3.2.2.2,"['C3.2.2.2.1', 'C3.2.2.2.2']"
721,end,C3.2.2.2.1,[]
721,end,C3.2.2.2.2,[]
0,begin,[],C4
94,div,C4,"['C4.1', 'C4.2']"
349,div,C4.1,"['C4.1.1', 'C4.1.2']"
546,div,C4.1.1,"['C4.1.1.1', 'C4.1.1.2']"
721,end,C4.1.1.1,[]
721,end,C4.1.1.2,[]
523,div,C4.1.2,"['C4.1.2.1', 'C4.1.2.2']"
721,end,C4.1.2.1,[]
721,end,C4.1.2.2,[]
327,div,C4.2,"['C4.2.1', 'C4.2.2']"
433,death,C4.2.1,[]
454,div,C4.2.2,"['C4.2.2.1', 'C4.2.2.2']"
721,end,C4.2.2.1,[]
721,end,C4.2.2.2,[]
0,begin,[],C5
107,div,C5,"['C5.1', 'C5.2']"
349,div,C5.1,"['C5.1.1', 'C5.1.2']"
609,death,C5.1.1,[]
634,div,C5.1.2,"['C5.1.2.1', 'C5.1.2.2']"
721,end,C5.1.2.1,[]
721,end,C5.1.2.2,[]
327,div,C5.2,"['C5.2.1', 'C5.2.2']"
467,div,C5.2.1,"['C5.2.1.1', 'C5.2.1.2']"
721,end,C5.2.1.1,[]
721,end,C5.2.1.2,[]
467,div,C5.2.2,"['C5.2.2.1', 'C5.2.2.2']"
721,end,C5.2.2.1,[]
721,end,C5.2.2.2,[]
0,begin,[],C6
52,div,C6,"['C6.1', 'C6.2']"
363,div,C6.1,"['C6.1.1', 'C6.1.2']"
560,div,C6.1.1,"['C6.1.1.1', 'C6.1.1.2']"
721,end,C6.1.1.1,[]
721,end,C6.1.1.2,[]
533,div,C6.1.2,"['C6.1.2.1', 'C6.1.2.2']"
721,end,C6.1.2.1,[]
721,end,C6.1.2.2,[]
274,death,C6.2,[]
0,begin,[],C7
241,div,C7,"['C7.1', 'C7.2']"
324,out,C7.1,[]
379,out,C7.2,[]
0,begin,[],C8
189,out,C8,[]
0,begin,[],C9
52,out,C9,[]
