time,event,input,output
0,begin,[],C1
158,div,C1,"['C1.1', 'C1.2']"
168,out,C1.1,[]
162,out,C1.2,[]
0,begin,[],C2
141,out,C2,[]
0,begin,[],C3
204,div,C3,"['C3.1', 'C3.2']"
552,div,C3.1,"['C3.1.1', 'C3.1.2']"
721,end,C3.1.1,[]
721,end,C3.1.2,[]
389,div,C3.2,"['C3.2.1', 'C3.2.2']"
567,div,C3.2.1,"['C3.2.1.1', 'C3.2.1.2']"
721,end,C3.2.1.1,[]
721,end,C3.2.1.2,[]
526,div,C3.2.2,"['C3.2.2.1', 'C3.2.2.2']"
696,div,C3.2.2.1,"['C3.2.2.1.1', 'C3.2.2.1.2']"
721,end,C3.2.2.1.1,[]
721,end,C3.2.2.1.2,[]
682,div,C3.2.2.2,"['C3.2.2.2.1', 'C3.2.2.2.2']"
721,end,C3.2.2.2.1,[]
721,end,C3.2.2.2.2,[]
0,begin,[],C4
143,div,C4,"['C4.1', 'C4.2']"
387,div,C4.1,"['C4.1.1', 'C4.1.2']"
604,div,C4.1.1,"['C4.1.1.1', 'C4.1.1.2']"
721,end,C4.1.1.1,[]
721,end,C4.1.1.2,[]
608,div,C4.1.2,"['C4.1.2.1', 'C4.1.2.2']"
721,end,C4.1.2.1,[]
721,end,C4.1.2.2,[]
415,div,C4.2,"['C4.2.1', 'C4.2.2']"
619,div,C4.2.1,"['C4.2.1.1', 'C4.2.1.2']"
721,end,C4.2.1.1,[]
721,end,C4.2.1.2,[]
638,div,C4.2.2,"['C4.2.2.1', 'C4.2.2.2']"
721,end,C4.2.2.1,[]
721,end,C4.2.2.2,[]
0,begin,[],C5
144,div,C5,"['C5.1', 'C5.2']"
344,div,C5.1,"['C5.1.1', 'C5.1.2']"
593,div,C5.1.1,"['C5.1.1.1', 'C5.1.1.2']"
721,end,C5.1.1.1,[]
721,end,C5.1.1.2,[]
721,end,C5.1.2,[]
318,div,C5.2,"['C5.2.1', 'C5.2.2']"
593,div,C5.2.1,"['C5.2.1.1', 'C5.2.1.2']"
721,end,C5.2.1.1,[]
721,end,C5.2.1.2,[]
633,div,C5.2.2,"['C5.2.2.1', 'C5.2.2.2']"
721,end,C5.2.2.1,[]
721,end,C5.2.2.2,[]
0,begin,[],C6
47,div,C6,"['C6.1', 'C6.2']"
721,end,C6.1,[]
505,div,C6.2,"['C6.2.1', 'C6.2.2']"
649,div,C6.2.1,"['C6.2.1.1', 'C6.2.1.2']"
721,end,C6.2.1.1,[]
721,end,C6.2.1.2,[]
721,end,C6.2.2,[]
0,begin,[],C7
90,div,C7,"['C7.1', 'C7.2']"
458,div,C7.1,"['C7.1.1', 'C7.1.2']"
662,div,C7.1.1,"['C7.1.1.1', 'C7.1.1.2']"
721,end,C7.1.1.1,[]
721,end,C7.1.1.2,[]
629,div,C7.1.2,"['C7.1.2.1', 'C7.1.2.2']"
721,end,C7.1.2.1,[]
721,end,C7.1.2.2,[]
450,div,C7.2,"['C7.2.1', 'C7.2.2']"
606,div,C7.2.1,"['C7.2.1.1', 'C7.2.1.2']"
721,end,C7.2.1.1,[]
721,end,C7.2.1.2,[]
618,div,C7.2.2,"['C7.2.2.1', 'C7.2.2.2']"
721,end,C7.2.2.1,[]
721,end,C7.2.2.2,[]
