time,event,input,output
0,begin,[],C1
82,div,C1,"['C1.1', 'C1.2']"
259,div,C1.1,"['C1.1.1', 'C1.1.2']"
457,div,C1.1.1,"['C1.1.1.1', 'C1.1.1.2']"
721,end,C1.1.1.1,[]
672,div,C1.1.1.2,"['C1.1.1.2.1', 'C1.1.1.2.2']"
721,end,C1.1.1.2.1,[]
721,end,C1.1.1.2.2,[]
475,div,C1.1.2,"['C1.1.2.1', 'C1.1.2.2']"
550,out,C1.1.2.1,[]
550,out,C1.1.2.2,[]
246,div,C1.2,"['C1.2.1', 'C1.2.2']"
433,div,C1.2.1,"['C1.2.1.1', 'C1.2.1.2']"
622,div,C1.2.1.1,"['C1.2.1.1.1', 'C1.2.1.1.2']"
721,end,C1.2.1.1.1,[]
721,end,C1.2.1.1.2,[]
625,div,C1.2.1.2,"['C1.2.1.2.1', 'C1.2.1.2.2']"
721,end,C1.2.1.2.1,[]
721,end,C1.2.1.2.2,[]
422,div,C1.2.2,"['C1.2.2.1', 'C1.2.2.2']"
582,div,C1.2.2.1,"['C1.2.2.1.1', 'C1.2.2.1.2']"
576,div,C1.2.2.2,"['C1.2.2.2.1', 'C1.2.2.2.2']"
721,end,C1.2.2.2.1,[]
721,end,C1.2.2.2.2,[]
721,end,C1.2.2.1.1,[]
721,end,C1.2.2.1.2,[]
0,begin,[],C2
91,div,C2,"['C2.1', 'C2.2']"
313,out,C2.1,[]
275,div,C2.2,"['C2.2.1', 'C2.2.2']"
464,div,C2.2.1,"['C2.2.1.1', 'C2.2.1.2']"
721,end,C2.2.1.1,[]
721,end,C2.2.1.2,[]
474,div,C2.2.2,"['C2.2.2.1', 'C2.2.2.2']"
721,end,C2.2.2.1,[]
691,div,C2.2.2.2,"['C2.2.2.2.1', 'C2.2.2.2.2']"
721,end,C2.2.2.2.1,[]
721,end,C2.2.2.2.2,[]
0,begin,[],C3
176,div,C3,"['C3.1', 'C3.2']"
221,div,C3.1,"['C3.1.1', 'C3.1.2']"
399,div,C3.1.1,"['C3.1.1.1', 'C3.1.1.2']"
625,div,C3.1.1.1,"['C3.1.1.1.1', 'C3.1.1.1.2']"
721,end,C3.1.1.1.1,[]
721,end,C3.1.1.1.2,[]
622,div,C3.1.1.2,"['C3.1.1.2.1', 'C3.1.1.2.2']"
721,end,C3.1.1.2.1,[]
721,end,C3.1.1.2.2,[]
395,div,C3.1.2,"['C3.1.2.1', 'C3.1.2.2']"
665,div,C3.1.2.1,"['C3.1.2.1.1', 'C3.1.2.1.2']"
721,end,C3.1.2.1.1,[]
721,end,C3.1.2.1.2,[]
637,div,C3.1.2.2,"['C3.1.2.2.1', 'C3.1.2.2.2']"
721,end,C3.1.2.2.1,[]
721,end,C3.1.2.2.2,[]
217,div,C3.2,"['C3.2.1', 'C3.2.2']"
368,div,C3.2.1,"['C3.2.1.1', 'C3.2.1.2']"
569,div,C3.2.1.1,"['C3.2.1.1.1', 'C3.2.1.1.2']"
721,end,C3.2.1.1.1,[]
721,end,C3.2.1.1.2,[]
566,div,C3.2.1.2,"['C3.2.1.2.1', 'C3.2.1.2.2']"
721,end,C3.2.1.2.2,[]
721,end,C3.2.1.2.1,[]
375,div,C3.2.2,"['C3.2.2.1', 'C3.2.2.2']"
608,div,C3.2.2.1,"['C3.2.2.1.1', 'C3.2.2.1.2']"
721,end,C3.2.2.1.1,[]
721,end,C3.2.2.1.2,[]
588,div,C3.2.2.2,"['C3.2.2.2.1', 'C3.2.2.2.2']"
721,end,C3.2.2.2.1,[]
721,end,C3.2.2.2.2,[]
0,begin,[],C4
84,div,C4,"['C4.1', 'C4.2']"
244,div,C4.1,"['C4.1.1', 'C4.1.2']"
457,div,C4.1.1,"['C4.1.1.1', 'C4.1.1.2']"
721,end,C4.1.1.1,[]
709,div,C4.1.1.2,"['C4.1.1.2.1', 'C4.1.1.2.2']"
721,end,C4.1.1.2.1,[]
721,end,C4.1.1.2.2,[]
430,div,C4.1.2,"['C4.1.2.1', 'C4.1.2.2']"
721,end,C4.1.2.1,[]
679,div,C4.1.2.2,"['C4.1.2.2.1', 'C4.1.2.2.2']"
721,end,C4.1.2.2.1,[]
721,end,C4.1.2.2.2,[]
240,div,C4.2,"['C4.2.1', 'C4.2.2']"
427,div,C4.2.1,"['C4.2.1.1', 'C4.2.1.2']"
636,div,C4.2.1.1,"['C4.2.1.1.1', 'C4.2.1.1.2']"
721,end,C4.2.1.1.1,[]
721,end,C4.2.1.1.2,[]
620,div,C4.2.1.2,"['C4.2.1.2.1', 'C4.2.1.2.2']"
721,end,C4.2.1.2.1,[]
721,end,C4.2.1.2.2,[]
418,div,C4.2.2,"['C4.2.2.1', 'C4.2.2.2']"
721,end,C4.2.2.1,[]
587,div,C4.2.2.2,"['C4.2.2.2.1', 'C4.2.2.2.2']"
721,end,C4.2.2.2.1,[]
721,end,C4.2.2.2.2,[]
0,begin,[],C5
40,div,C5,"['C5.1', 'C5.2']"
224,div,C5.1,"['C5.1.1', 'C5.1.2']"
250,fusion,"['C5.1.1', 'C5.1.2']",C5.3
312,death,C5.3,[]
214,div,C5.2,"['C5.2.1', 'C5.2.2']"
407,div,C5.2.1,"['C5.2.1.1', 'C5.2.1.2']"
721,end,C5.2.1.1,[]
721,end,C5.2.1.2,[]
384,div,C5.2.2,"['C5.2.2.1', 'C5.2.2.2']"
588,div,C5.2.2.2,"['C5.2.2.2.1', 'C5.2.2.2.2']"
721,end,C5.2.2.2.1,[]
721,end,C5.2.2.2.2,[]
721,end,C5.2.2.1,[]
0,begin,[],C6
33,div,C6,"['C6.1', 'C6.2']"
185,div,C6.1,"['C6.1.1', 'C6.1.2']"
413,div,C6.1.1,"['C6.1.1.1', 'C6.1.1.2']"
572,div,C6.1.1.1,"['C6.1.1.1.1', 'C6.1.1.1.2']"
720,div,C6.1.1.1.1,"['C6.1.1.1.1.1', 'C6.1.1.1.1.2']"
721,end,C6.1.1.1.1.1,[]
721,end,C6.1.1.1.1.2,[]
721,end,C6.1.1.1.2,[]
571,div,C6.1.1.2,"['C6.1.1.2.1', 'C6.1.1.2.2']"
721,end,C6.1.1.2.1,[]
