Nombre de cellules à J0,5
Nombre de cellules à J5,1
Nombre de mitoses totale,12
Nombre de cycles mitotiques,2.4
Nombre de mitoses normales,9
Nombre de mitoses anormales,3
Nombre de mitoses non dichotomiques,2
Nombre de refusions après mitose,4
Nombre total de morts,13
Nombre de mort sans mitose,0
Nombre de mort après mitose,13
Nombre de sorties,0
Longueur moyenne entre deux cycles,281
Longueur moyenne entre T0 et première division,156
,
Nom des cellules,C1,C2,C3,C4,C5
Nombre de divisions,1,2,4,3,2
,
Nombre de divisions,0,1,2,3,4
Nombre de cellules concernées,0,1,2,1,1
