Nombre de cellules à J0,7
Nombre de cellules à J5,18
Nombre de mitoses totale,18
Nombre de cycles mitotiques,2.57143
Nombre de mitoses normales,16
Nombre de mitoses anormales,2
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,1
Nombre total de morts,5
Nombre de mort sans mitose,0
Nombre de mort après mitose,5
Nombre de sorties,3
Longueur moyenne entre deux cycles,196
Longueur moyenne entre T0 et première division,191
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7
Nombre de divisions,0,1,5,1,2,2,7
,
Nombre de divisions,0,1,2,3,4,5,6,7
Nombre de cellules concernées,1,2,2,0,0,1,0,1
