Nombre de cellules à J0,11
Nombre de cellules à J5,48
Nombre de mitoses totale,53
Nombre de cycles mitotiques,4.81818
Nombre de mitoses normales,52
Nombre de mitoses anormales,1
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,1
Nombre total de morts,11
Nombre de mort sans mitose,1
Nombre de mort après mitose,10
Nombre de sorties,4
Longueur moyenne entre deux cycles,172
Longueur moyenne entre T0 et première division,126
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Nombre de divisions,1,2,11,0,4,1,1,7,11,5,10
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11
Nombre de cellules concernées,1,3,1,0,1,1,0,1,0,0,1,2
