Nombre de cellules à J0,9
Nombre de cellules à J5,37
Nombre de mitoses totale,38
Nombre de cycles mitotiques,4.22222
Nombre de mitoses normales,38
Nombre de mitoses anormales,0
Nombre de mitoses non dichotomiques,0
Nombre de refusions après mitose,0
Nombre total de morts,5
Nombre de mort sans mitose,0
Nombre de mort après mitose,5
Nombre de sorties,5
Longueur moyenne entre deux cycles,200
Longueur moyenne entre T0 et première division,121
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9
Nombre de divisions,6,6,9,6,6,4,1,0,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9
Nombre de cellules concernées,2,1,0,0,1,0,4,0,0,1
