Nombre de cellules à J0,8
Nombre de cellules à J5,29
Nombre de mitoses totale,25
Nombre de cycles mitotiques,3.125
Nombre de mitoses normales,25
Nombre de mitoses anormales,0
Nombre de mitoses non dichotomiques,0
Nombre de refusions après mitose,0
Nombre total de morts,1
Nombre de mort sans mitose,0
Nombre de mort après mitose,1
Nombre de sorties,3
Longueur moyenne entre deux cycles,272
Longueur moyenne entre T0 et première division,136
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8
Nombre de divisions,0,6,0,6,5,3,1,4
,
Nombre de divisions,0,1,2,3,4,5,6
Nombre de cellules concernées,2,1,0,1,1,1,2
