Nombre de cellules à J0,6
Nombre de cellules à J5,66
Nombre de mitoses totale,66
Nombre de cycles mitotiques,11
Nombre de mitoses normales,65
Nombre de mitoses anormales,1
Nombre de mitoses non dichotomiques,0
Nombre de refusions après mitose,1
Nombre total de morts,2
Nombre de mort sans mitose,0
Nombre de mort après mitose,2
Nombre de sorties,3
Longueur moyenne entre deux cycles,182
Longueur moyenne entre T0 et première division,84
,
Nom des cellules,C1,C2,C3,C4,C5,C6
Nombre de divisions,12,5,15,12,6,16
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Nombre de cellules concernées,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,1
