Nombre de cellules à J0,9
Nombre de cellules à J5,76
Nombre de mitoses totale,76
Nombre de cycles mitotiques,8.44444
Nombre de mitoses normales,73
Nombre de mitoses anormales,3
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,2
Nombre total de morts,8
Nombre de mort sans mitose,1
Nombre de mort après mitose,7
Nombre de sorties,0
Longueur moyenne entre deux cycles,169
Longueur moyenne entre T0 et première division,76
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9
Nombre de divisions,15,1,6,10,15,13,10,6,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Nombre de cellules concernées,1,1,0,0,0,0,2,0,0,0,2,0,0,1,0,2
