Nombre de cellules à J0,75
Nombre de cellules à J5,442
Nombre de mitoses totale,424
Nombre de cycles mitotiques,5.65333
Nombre de mitoses normales,417
Nombre de mitoses anormales,7
Nombre de mitoses non dichotomiques,6
Nombre de refusions après mitose,3
Nombre total de morts,23
Nombre de mort sans mitose,1
Nombre de mort après mitose,22
Nombre de sorties,39
Longueur moyenne entre deux cycles,203
Longueur moyenne entre T0 et première division,116
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75
Nombre de divisions,9,5,7,2,0,7,1,15,3,2,6,7,3,1,0,7,7,6,3,7,0,6,0,6,5,3,1,4,12,5,15,12,6,16,4,0,4,0,14,14,6,4,9,6,6,6,9,6,6,4,1,0,0,0,4,2,11,5,6,9,7,6,4,1,8,5,4,5,3,12,14,10,4,7,9
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Nombre de cellules concernées,9,5,3,5,9,6,13,8,1,5,1,1,3,0,3,2,1
