Nombre de cellules à J0,18
Nombre de cellules à J5,0
Nombre de mitoses totale,67
Nombre de cycles mitotiques,3.72222
Nombre de mitoses normales,65
Nombre de mitoses anormales,2
Nombre de mitoses non dichotomiques,2
Nombre de refusions après mitose,0
Nombre total de morts,3
Nombre de mort sans mitose,0
Nombre de mort après mitose,3
Nombre de sorties,1
Longueur moyenne entre deux cycles,174
Longueur moyenne entre T0 et première division,90
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
Nombre de divisions,5,7,7,4,2,5,6,5,6,3,3,3,3,1,2,1,1,3
,
Nombre de divisions,0,1,2,3,4,5,6,7
Nombre de cellules concernées,0,3,2,5,1,3,2,2
