Nombre de cellules à J0,6
Nombre de cellules à J5,0
Nombre de mitoses totale,45
Nombre de cycles mitotiques,7.5
Nombre de mitoses normales,43
Nombre de mitoses anormales,2
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,1
Nombre total de morts,1
Nombre de mort sans mitose,0
Nombre de mort après mitose,1
Nombre de sorties,0
Longueur moyenne entre deux cycles,118
Longueur moyenne entre T0 et première division,102
,
Nom des cellules,C1,C2,C3,C4,C5,C6
Nombre de divisions,1,7,9,13,14,1
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Nombre de cellules concernées,0,2,0,0,0,0,0,1,0,1,0,0,0,1,1
