Nombre de cellules à J0,12
Nombre de cellules à J5,0
Nombre de mitoses totale,53
Nombre de cycles mitotiques,4.41667
Nombre de mitoses normales,53
Nombre de mitoses anormales,0
Nombre de mitoses non dichotomiques,0
Nombre de refusions après mitose,0
Nombre total de morts,5
Nombre de mort sans mitose,1
Nombre de mort après mitose,4
Nombre de sorties,1
Longueur moyenne entre deux cycles,155
Longueur moyenne entre T0 et première division,96
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C10,C11,C12,C13
Nombre de divisions,6,3,3,0,5,6,6,7,0,7,7,3
,
Nombre de divisions,0,1,2,3,4,5,6,7
Nombre de cellules concernées,2,0,0,3,0,1,3,3
