Nombre de cellules à J0,12
Nombre de cellules à J5,2
Nombre de mitoses totale,3
Nombre de cycles mitotiques,0.25
Nombre de mitoses normales,3
Nombre de mitoses anormales,0
Nombre de mitoses non dichotomiques,0
Nombre de refusions après mitose,0
Nombre total de morts,10
Nombre de mort sans mitose,5
Nombre de mort après mitose,5
Nombre de sorties,3
Longueur moyenne entre deux cycles,0
Longueur moyenne entre T0 et première division,271
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
Nombre de divisions,0,0,0,1,0,0,1,0,0,0,1,0
,
Nombre de divisions,0,1
Nombre de cellules concernées,9,3
