Nombre de cellules à J0,9
Nombre de cellules à J5,0
Nombre de mitoses totale,5
Nombre de cycles mitotiques,0.555556
Nombre de mitoses normales,3
Nombre de mitoses anormales,2
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,3
Nombre total de morts,10
Nombre de mort sans mitose,3
Nombre de mort après mitose,7
Nombre de sorties,3
Longueur moyenne entre deux cycles,0
Longueur moyenne entre T0 et première division,243
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9
Nombre de divisions,0,0,1,1,1,1,0,1,0
,
Nombre de divisions,0,1
Nombre de cellules concernées,4,5
