Nombre de cellules à J0,4
Nombre de cellules à J5,1
Nombre de mitoses totale,1
Nombre de cycles mitotiques,0.25
Nombre de mitoses normales,1
Nombre de mitoses anormales,0
Nombre de mitoses non dichotomiques,0
Nombre de refusions après mitose,0
Nombre total de morts,3
Nombre de mort sans mitose,3
Nombre de mort après mitose,0
Nombre de sorties,1
Longueur moyenne entre deux cycles,0
Longueur moyenne entre T0 et première division,115
,
Nom des cellules,C1,C2,C3,C4
Nombre de divisions,1,0,0,0
,
Nombre de divisions,0,1
Nombre de cellules concernées,3,1
