Nombre de cellules à J0,18
Nombre de cellules à J5,7
Nombre de mitoses totale,7
Nombre de cycles mitotiques,0.388889
Nombre de mitoses normales,4
Nombre de mitoses anormales,3
Nombre de mitoses non dichotomiques,3
Nombre de refusions après mitose,6
Nombre total de morts,11
Nombre de mort sans mitose,7
Nombre de mort après mitose,4
Nombre de sorties,4
Longueur moyenne entre deux cycles,0
Longueur moyenne entre T0 et première division,351
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
Nombre de divisions,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0
,
Nombre de divisions,0,1
Nombre de cellules concernées,11,7
