Nombre de cellules à J0,11
Nombre de cellules à J5,1
Nombre de mitoses totale,6
Nombre de cycles mitotiques,0.545455
Nombre de mitoses normales,1
Nombre de mitoses anormales,5
Nombre de mitoses non dichotomiques,5
Nombre de refusions après mitose,10
Nombre total de morts,7
Nombre de mort sans mitose,3
Nombre de mort après mitose,4
Nombre de sorties,5
Longueur moyenne entre deux cycles,189
Longueur moyenne entre T0 et première division,377
,
Nom des cellules,C188,C189,C3,C4,C5,C6,C7,C8,C9,C10,C11
Nombre de divisions,0,0,1,0,0,0,0,1,1,1,2
,
Nombre de divisions,0,1,2
Nombre de cellules concernées,6,4,1
