Nombre de cellules à J0,30
Nombre de cellules à J5,11
Nombre de mitoses totale,33
Nombre de cycles mitotiques,1.1
Nombre de mitoses normales,13
Nombre de mitoses anormales,20
Nombre de mitoses non dichotomiques,12
Nombre de refusions après mitose,25
Nombre total de morts,27
Nombre de mort sans mitose,2
Nombre de mort après mitose,25
Nombre de sorties,15
Longueur moyenne entre deux cycles,187
Longueur moyenne entre T0 et première division,270
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30
Nombre de divisions,0,4,2,2,0,0,0,3,5,0,1,1,0,1,0,0,1,1,2,2,1,0,0,2,1,0,0,1,0,3
,
Nombre de divisions,0,1,2,3,4,5
Nombre de cellules concernées,13,8,5,2,1,1
