Nombre de cellules à J0,40
Nombre de cellules à J5,8
Nombre de mitoses totale,30
Nombre de cycles mitotiques,0.75
Nombre de mitoses normales,10
Nombre de mitoses anormales,20
Nombre de mitoses non dichotomiques,15
Nombre de refusions après mitose,28
Nombre total de morts,41
Nombre de mort sans mitose,8
Nombre de mort après mitose,33
Nombre de sorties,14
Longueur moyenne entre deux cycles,244
Longueur moyenne entre T0 et première division,278
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40
Nombre de divisions,3,0,0,0,1,0,0,1,2,1,1,0,2,1,3,1,1,0,1,0,0,1,0,0,1,1,2,2,0,1,0,1,0,1,0,1,0,0,0,1
,
Nombre de divisions,0,1,2,3
Nombre de cellules concernées,18,16,4,2
