Nombre de cellules à J0,28
Nombre de cellules à J5,8
Nombre de mitoses totale,14
Nombre de cycles mitotiques,0.5
Nombre de mitoses normales,3
Nombre de mitoses anormales,11
Nombre de mitoses non dichotomiques,5
Nombre de refusions après mitose,10
Nombre total de morts,26
Nombre de mort sans mitose,9
Nombre de mort après mitose,17
Nombre de sorties,1
Longueur moyenne entre deux cycles,0
Longueur moyenne entre T0 et première division,381
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28
Nombre de divisions,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0
,
Nombre de divisions,0,1
Nombre de cellules concernées,14,14
