Nombre de cellules à J0,29
Nombre de cellules à J5,17
Nombre de mitoses totale,25
Nombre de cycles mitotiques,0.862069
Nombre de mitoses normales,6
Nombre de mitoses anormales,19
Nombre de mitoses non dichotomiques,15
Nombre de refusions après mitose,19
Nombre total de morts,24
Nombre de mort sans mitose,7
Nombre de mort après mitose,17
Nombre de sorties,8
Longueur moyenne entre deux cycles,200
Longueur moyenne entre T0 et première division,311
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Nombre de divisions,1,1,1,1,1,1,1,0,0,3,1,0,1,1,0,1,4,1,0,0,0,0,0,2,0,1,1,1,1
,
Nombre de divisions,0,1,2,3,4
Nombre de cellules concernées,10,16,1,1,1
