Nombre de cellules à J0,5
Nombre de cellules à J5,0
Nombre de mitoses totale,45
Nombre de cycles mitotiques,9
Nombre de mitoses normales,45
Nombre de mitoses anormales,0
Nombre de mitoses non dichotomiques,0
Nombre de refusions après mitose,0
Nombre total de morts,3
Nombre de mort sans mitose,1
Nombre de mort après mitose,2
Nombre de sorties,0
Longueur moyenne entre deux cycles,134
Longueur moyenne entre T0 et première division,146
,
Nom des cellules,C1,C2,C3,C4,C5
Nombre de divisions,0,14,7,13,11
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Nombre de cellules concernées,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1
