Nombre de cellules à J0,6
Nombre de cellules à J5,0
Nombre de mitoses totale,45
Nombre de cycles mitotiques,7.5
Nombre de mitoses normales,41
Nombre de mitoses anormales,4
Nombre de mitoses non dichotomiques,3
Nombre de refusions après mitose,2
Nombre total de morts,8
Nombre de mort sans mitose,1
Nombre de mort après mitose,7
Nombre de sorties,3
Longueur moyenne entre deux cycles,149
Longueur moyenne entre T0 et première division,98
,
Nom des cellules,C1,C2,C3,C4,C5,C6
Nombre de divisions,6,7,7,13,0,12
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Nombre de cellules concernées,1,0,0,0,0,0,1,2,0,0,0,0,1,1
