Nombre de cellules à J0,13
Nombre de cellules à J5,0
Nombre de mitoses totale,103
Nombre de cycles mitotiques,7.92308
Nombre de mitoses normales,102
Nombre de mitoses anormales,1
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,0
Nombre total de morts,6
Nombre de mort sans mitose,2
Nombre de mort après mitose,4
Nombre de sorties,3
Longueur moyenne entre deux cycles,131
Longueur moyenne entre T0 et première division,116
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Nombre de divisions,0,3,0,12,19,11,11,12,0,15,8,7,5
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Nombre de cellules concernées,3,0,0,1,0,1,0,1,1,0,0,2,2,0,0,1,0,0,0,1
