Nombre de cellules à J0,6
Nombre de cellules à J5,0
Nombre de mitoses totale,67
Nombre de cycles mitotiques,11.1667
Nombre de mitoses normales,63
Nombre de mitoses anormales,4
Nombre de mitoses non dichotomiques,2
Nombre de refusions après mitose,2
Nombre total de morts,3
Nombre de mort sans mitose,0
Nombre de mort après mitose,3
Nombre de sorties,0
Longueur moyenne entre deux cycles,133
Longueur moyenne entre T0 et première division,129
,
Nom des cellules,C1,C2,C3,C4,C5,C6
Nombre de divisions,15,7,1,19,14,11
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Nombre de cellules concernées,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
