Nombre de cellules à J0,84
Nombre de cellules à J5,0
Nombre de mitoses totale,707
Nombre de cycles mitotiques,8.41667
Nombre de mitoses normales,686
Nombre de mitoses anormales,21
Nombre de mitoses non dichotomiques,17
Nombre de refusions après mitose,8
Nombre total de morts,49
Nombre de mort sans mitose,5
Nombre de mort après mitose,44
Nombre de sorties,13
Longueur moyenne entre deux cycles,137
Longueur moyenne entre T0 et première division,123
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C518,C519,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84
Nombre de divisions,15,11,9,4,13,7,15,7,1,19,14,11,0,3,0,12,19,11,11,12,0,15,7,7,5,0,14,7,13,11,0,8,5,11,7,5,6,12,7,8,6,13,9,4,0,6,8,7,7,11,0,16,14,9,6,6,7,7,13,0,12,7,8,6,12,16,11,14,13,3,7,7,11,7,8,5,7,6,11,7,13,2,14,9
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Nombre de cellules concernées,8,1,1,2,2,4,7,17,5,4,0,10,5,6,5,3,2,0,0,2
