Nombre de cellules à J0,8
Nombre de cellules à J5,0
Nombre de mitoses totale,30
Nombre de cycles mitotiques,3.75
Nombre de mitoses normales,28
Nombre de mitoses anormales,2
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,1
Nombre total de morts,7
Nombre de mort sans mitose,0
Nombre de mort après mitose,7
Nombre de sorties,2
Longueur moyenne entre deux cycles,186
Longueur moyenne entre T0 et première division,114
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8
Nombre de divisions,3,8,3,3,0,7,2,4
,
Nombre de divisions,0,1,2,3,4,5,6,7,8
Nombre de cellules concernées,1,0,1,3,1,0,0,1,1
