Nombre de cellules à J0,8
Nombre de cellules à J5,0
Nombre de mitoses totale,37
Nombre de cycles mitotiques,4.625
Nombre de mitoses normales,33
Nombre de mitoses anormales,4
Nombre de mitoses non dichotomiques,3
Nombre de refusions après mitose,5
Nombre total de morts,3
Nombre de mort sans mitose,0
Nombre de mort après mitose,3
Nombre de sorties,0
Longueur moyenne entre deux cycles,164
Longueur moyenne entre T0 et première division,176
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8
Nombre de divisions,3,3,4,7,4,3,7,6
,
Nombre de divisions,0,1,2,3,4,5,6,7
Nombre de cellules concernées,0,0,0,3,2,0,1,2
