Nombre de cellules à J0,5
Nombre de cellules à J5,0
Nombre de mitoses totale,6
Nombre de cycles mitotiques,1.2
Nombre de mitoses normales,2
Nombre de mitoses anormales,4
Nombre de mitoses non dichotomiques,3
Nombre de refusions après mitose,5
Nombre total de morts,2
Nombre de mort sans mitose,0
Nombre de mort après mitose,2
Nombre de sorties,2
Longueur moyenne entre deux cycles,163
Longueur moyenne entre T0 et première division,183
,
Nom des cellules,C1,C2,C3,C4,C5
Nombre de divisions,0,1,4,1,0
,
Nombre de divisions,0,1,2,3,4
Nombre de cellules concernées,2,2,0,0,1
