Nombre de cellules à J0,18
Nombre de cellules à J5,100
Nombre de mitoses totale,120
Nombre de cycles mitotiques,6.66667
Nombre de mitoses normales,115
Nombre de mitoses anormales,5
Nombre de mitoses non dichotomiques,2
Nombre de refusions après mitose,4
Nombre total de morts,20
Nombre de mort sans mitose,4
Nombre de mort après mitose,16
Nombre de sorties,17
Longueur moyenne entre deux cycles,139
Longueur moyenne entre T0 et première division,132
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
Nombre de divisions,6,2,2,0,0,0,38,6,0,1,0,3,15,9,3,13,7,15
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Nombre de cellules concernées,5,1,2,2,0,0,2,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
