Nombre de cellules à J0,48
Nombre de cellules à J5,62
Nombre de mitoses totale,74
Nombre de cycles mitotiques,1.54167
Nombre de mitoses normales,59
Nombre de mitoses anormales,15
Nombre de mitoses non dichotomiques,5
Nombre de refusions après mitose,15
Nombre total de morts,34
Nombre de mort sans mitose,8
Nombre de mort après mitose,26
Nombre de sorties,14
Longueur moyenne entre deux cycles,196
Longueur moyenne entre T0 et première division,191
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,CC9,CC10,CC11,CC12,CC13,CCC14,CCC15,CCC16,CCC17,CCC18,CCCC19,CCCC20,CCCC21,CCCC22,CCCCCC23,CCCCCC24,CCCCCC25,CCCCCC26,CCCCCC27,CCCCCC28,CCCCCC29,CCCCCC30,CCCCCC31,CCCCCC32,CCCCCCC33,CCCCCCC34,CCCCCCC35,CCCCCCC36,CCCCCCC37,CCCCCCC38,CCCCCCC39,CCCCCCC40,CCCCCCCC41,CCCCCCCCC42,CCCCCCCCC43,CCCCCCCCC44,CCCCCCCCC45,CCCCCCCCC46,CCCCCCCCC47,CCCCCCCCC48
Nombre de divisions,5,15,1,6,2,2,2,8,1,1,2,1,0,1,1,2,1,0,1,0,0,0,3,0,2,1,1,1,2,1,1,1,0,1,0,0,2,0,0,0,1,0,1,1,1,1,1,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Nombre de cellules concernées,14,21,8,1,0,1,1,0,1,0,0,0,0,0,0,1
