Nombre de cellules à J0,25
Nombre de cellules à J5,79
Nombre de mitoses totale,106
Nombre de cycles mitotiques,4.24
Nombre de mitoses normales,81
Nombre de mitoses anormales,25
Nombre de mitoses non dichotomiques,11
Nombre de refusions après mitose,25
Nombre total de morts,23
Nombre de mort sans mitose,1
Nombre de mort après mitose,22
Nombre de sorties,19
Longueur moyenne entre deux cycles,167
Longueur moyenne entre T0 et première division,191
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
Nombre de divisions,1,0,1,6,1,0,13,4,7,1,9,7,0,7,3,7,6,2,6,5,3,10,4,3,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Nombre de cellules concernées,4,4,1,3,2,1,3,4,0,1,1,0,0,1
