Nombre de cellules à J0,15
Nombre de cellules à J5,59
Nombre de mitoses totale,64
Nombre de cycles mitotiques,4.26667
Nombre de mitoses normales,51
Nombre de mitoses anormales,13
Nombre de mitoses non dichotomiques,6
Nombre de refusions après mitose,11
Nombre total de morts,12
Nombre de mort sans mitose,2
Nombre de mort après mitose,10
Nombre de sorties,5
Longueur moyenne entre deux cycles,157
Longueur moyenne entre T0 et première division,179
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C13,C14,C15,C16
Nombre de divisions,10,6,9,0,7,8,0,5,2,7,1,5,0,4,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10
Nombre de cellules concernées,4,1,1,0,1,2,1,2,1,1,1
